id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4943500610112007,NifEh0t8z,7368133879,棒棒9292,#周深遇见花西子#这个世界上，不早不晚。刚刚好遇见你，欢笑是你陪我，悲伤也是你陪我，你的声音给我太多的力量，太多的鼓舞。加油！周深,,,,周深遇见花西子,0,0,0,2023-09-08 00:57,OPPO A92s,,,
4943497309718484,NifyWEMdK,7629495037,棒棒棒9291,#花西子全球品牌大使周深#世人万千种，浮云莫去求，斯人若彩虹，遇上方知有。真的，遇见周深，才知道原来声音可以这么好听，人可以这么可爱真诚，三观可以这么正,,,,花西子全球品牌大使周深,0,0,0,2023-09-08 00:44,OPPO A92s,,,
4943497011660172,Nifyt6XSY,7629495037,棒棒棒9291,#周深遇见花西子#这个世界上，不早不晚。刚刚好遇见你，欢笑是你陪我，悲伤也是你陪我，你的声音给我太多的力量，太多的鼓舞。加油！周深,,,,周深遇见花西子,0,0,0,2023-09-08 00:43,OPPO A92s,,,
4943494219039681,NiftXBVDj,5966600088,奔跑特码头,张真源💚#花西子品牌大使张真源#😄💚#张真源戏唱舞三刀流#手把冰冷的城墙，咽下寂寞辉煌，错过怎能轻易用梦想补偿@时代少年团-张真源,,,时代少年团-张真源,"花西子品牌大使张真源,张真源 戏唱舞三刀流",0,4,1,2023-09-08 00:32,张真源超话,['https://wx2.sinaimg.cn/large/006vNffily1hhohkwygs7j313y0rlaih.jpg'],,
4943493660935261,Nift43ViR,5334849060,YifW_if,檀健次周边中转站花西子明信片换生日会明信片！,,,,,0,0,0,2023-09-08 00:29,檀健次周边中转站超话,,,
4943493401937234,NifsE87XI,7400544382,蓝胖子百宝屋,【李佳琦直播间】花西子蚕丝蜜粉饼/夏季粉饼定妆控油【现价】199.9元O网页链接,,,,,0,0,0,2023-09-08 00:28,微博小店,"['https://wx2.sinaimg.cn/large/0084PVF4ly8hhohhj0jq0j30m80m8q69.jpg', 'https://wx3.sinaimg.cn/large/0084PVF4ly8hhohhiy0urj30m80m8go5.jpg', 'https://wx1.sinaimg.cn/large/0084PVF4ly8hhohhitcxxj30m80m8jtv.jpg', 'https://wx3.sinaimg.cn/large/0084PVF4ly8hhohhj2hn4j30m80m8n02.jpg']",,
4943490771584634,Nifop6EeC,7436711648,wanyun10,"孙珍妮szn#孙珍妮花西子品牌挚友#szn#孙珍妮迪士尼在逃公主#szn#孙珍妮未来可期#“你是我难以预料的惊喜也是我来日方长的温柔.”""𝒀𝒐𝒖𝒂𝒓𝒆𝒎𝒚𝒖𝒏𝒆𝒙𝒑𝒆𝒄𝒕𝒆𝒅𝒔𝒖𝒓𝒑𝒓𝒊𝒔𝒆𝒂𝒏𝒅𝒎𝒚𝒕𝒆𝒏𝒅𝒆𝒓𝒏𝒆𝒔𝒔.""@孙珍妮的微博",,,孙珍妮的微博,"孙珍妮花西子品牌挚友,孙珍妮迪士尼在逃公主,孙珍妮未来可期",0,2,2,2023-09-08 00:18,孙珍妮超话,['https://wx2.sinaimg.cn/large/0087hGq4gy1hhoh6lo90zj30u014041m.jpg'],,
4943487150854192,Nifiz3Adi,5776813806,一串葡萄多少个,#白鹿0923生日快乐##白鹿花西子全球品牌大使#追随光我对你的爱意永远热烈真诚𝓕𝓸𝓵𝓵𝓸𝔀𝓽𝓱𝓮𝓵𝓲𝓰𝓱𝓽𝓶𝔂𝓵𝓸𝓿𝓮𝓯𝓸𝓻𝔂𝓸𝓾𝔀𝓲𝓵𝓵𝓪𝓵𝔀𝓪𝔂𝓼𝓫𝓮𝔀𝓪𝓻𝓶𝓪𝓷𝓭𝓼𝓲𝓷𝓬𝓮𝓻𝓮@白鹿my,,,白鹿my,"白鹿0923生日快乐,白鹿花西子全球品牌大使",0,0,0,2023-09-08 00:04,白鹿超话,['https://wx3.sinaimg.cn/large/006iWVaegy1hhogrpdhucj31hc1z4dwh.jpg'],,
4943672912117895,Nik8b8SXB,5947397206,孙珍妮的树莓瓶,孙珍妮〔0908冱动〕当前惹度【8708】，今日🎯银②🍯【每个选项】都【投】，【分享观点同时评论】🍯长按选项取消，再投其他选项#青年演员孙珍妮#szn@孙珍妮的微博#孙珍妮未来可期#szn孙珍妮,,,孙珍妮的微博,青年演员孙珍妮,79,69,88,2023-09-08 12:22,孙珍妮超话,,,
4943847937017784,NioGttrE4,7483025078,果珍有妮,我投给了“#孙珍妮花西子品牌挚友#szn孙珍妮”~,,,,孙珍妮花西子品牌挚友,0,0,88,2023-09-08 23:57,🍯🧸iPhone X,,,4943672912117895
