id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4950264111433993,Nl5B9612V,6336556296,花西子Florasis,#我有一个梦想#我，花西子，6岁半，我有一个梦想，做一个立足本土，走向世界的高端品牌。,,,,我有一个梦想,138211,133506,2901155,2023-09-26 16:53,,['https://wx4.sinaimg.cn/large/006UPxKUgy1hia2mp92w9j30gk0gk0ts.jpg'],,
4953285111843795,NmmbJ7JED,6756060678,茉莉小魔仙,@花西子Florasis你怎么去新疆了,,,花西子Florasis,,0,0,2901155,2023-10-05 00:57,nova6 5G自拍大不一样,,,4950264111433993
4953122525417588,NmhXumJms,6135649961,瓜皮妖,李佳琦和他的公司，团队。霸凌我的部分证据。#直播间卖一个亿能赚多少钱#,,,,直播间卖一个亿能赚多少钱,9137,2690,83220,2023-10-04 14:11,赞评会暴富iPhone客户端,"['https://wx4.sinaimg.cn/large/006HeyQ9ly1hij7cg6ldkj30wi1ycn7z.jpg', 'https://wx1.sinaimg.cn/large/006HeyQ9ly1hijjsngz9yj30wi1ycah5.jpg', 'https://wx2.sinaimg.cn/large/006HeyQ9ly1hijjsnwdj2j30wi1ycjym.jpg', 'https://wx4.sinaimg.cn/large/006HeyQ9ly1hijjso6qu3j30wi1ycqa3.jpg', 'https://wx2.sinaimg.cn/large/006HeyQ9ly1hijjsymuydj30wi1ycdnv.jpg', 'https://wx1.sinaimg.cn/large/006HeyQ9ly1hij7di21ihj30iq0dajsx.jpg']",,
4953285070690372,NmmbF2TB2,3779938431,CoRa_0621,没买过，没看过，花西子我一直觉得挺土的,,,,,1,0,83220,2023-10-05 00:57,iPhone客户端,,,4953122525417588
4953283267135589,Nmm8KtWi9,5656060028,CrushJJ_,救命救命救命时间怎么过的这么快的我敲我敲我的进度慢的要死怎么可以这么慢我佛了极限备考一个花西子的时间,,,,,0,0,0,2023-10-05 00:50,iPad客户端,,,
4953282667877317,Nmm7Mx3fv,7368444393,棒棒9296,#周深遇见花西子#这个世界上，不早不晚。刚刚好遇见你，欢笑是你陪我，悲伤也是你陪我，你的声音给我太多的力量，太多的鼓舞。加油！周深,,,,周深遇见花西子,0,0,0,2023-10-05 00:47,OPPO A92s,,,
4953279564350462,Nmm2MifKK,7508157672,恋宅羊,逆水寒手游交易转单【Mo1297】西子湖畔三绝版女神相💰680可分✨总评6.8✨绝版舞乐花非花青蛇灵鹿✨庄园十级打造四金月卡还有147天手机号三任有交易记录普中AA，可分期首付500余款180在10.20号结清,,,,,0,0,0,2023-10-05 00:35,逆水寒手游交易超话,,,
4953051229587096,Nmg6uEe2A,5032725878,丰丝,我们的努力谁能看见？李佳琦说得没有错，国货确实挺难的，但难的不是花西子，而是那些勤恳务实、把所有钢镚都投入到研发和生产当中的国货品牌们。因为这样的品牌真的没有预算去支付网红们的营销费、主播们的坑位费和高抽佣。不找网红打广告不进直播间只有一个结果：雪藏闺中，无人问津。不管什么样的品，只要头部主播金口一开，一个晚上能卖几十万笔，这样的销量神话不计其数，简直是太诱人了！为了赶潮流，我们曾经也尝试过找主播谈合作。可你们知道抽佣要多少吗？国货要求40%佣金起步，洋货是20%起步，仅仅是起步。有位头部主播的商务对接亲口告诉我，你要想达成合作，美妆类目一般建议出佣80%，如果出得低，那位置就给别人了。也就是说，除掉物流费、包装费、人工成本，留给产品成本不能超过10%，简直超乎我的想象，我不知道同行们是怎么做到的，反正丰丝是做不到。生意和事业本质是不同的，生意是无利不往，而事业则是理想，是信仰，不可侵犯的神圣！为什么在直播间里长大的品牌不管销量再猛，我们始终感受不到灵魂。因为他们只是主播们扶持起来的傀儡，赚钱的工具。不信我们拭目以待，看看那些脱离了头部直播间的品牌销量会掉成什么样？哦，还有，我们品牌方如果想要跟大主播合作，还要签一份《最低价协议》，内容大概意思是:是不是最低价我不关心，但你给其他所有渠道(包括但不限于其它直播间、实体店、网店)的卖价都要比我直播间高。你瞧瞧有没有垄断那味？所以，消费者根本不可能买到实惠，只是不得不在头部主播这里买货。商业的本质是让企业们凭技术、凭品质、凭能力充分竞争，优胜劣汰。但是现在，头部主播们靠着市场支配地位轻而易举地虹吸了社会上绝大部分的财富。这一切，于商家于消费者百害而无一利，对国家对人民对商业的推动毫无贡献，他们是阻碍市场经济可持续发展的毒瘤，但今天这群人却反过头来问我们：“这么多年工资涨没涨?有没有努力工作？”你把光明大道都给挡住了，我们的努力谁能看见？,,,,,3910,2888,50407,2023-10-04 09:28,iPhone客户端,,,
4953279136798665,Nmm25swDT,2693416460,DoctorRoy,//@胜利主义章北海:说是支持国货，实际80%的抽成是给了主播。所以花西子贵就是因为李佳琦,,,胜利主义章北海,,0,0,50407,2023-10-05 00:33,荣耀90 Pro 写真相机,,,4953051229587096
4953279068902202,Nmm1YBlRU,7368133879,棒棒9292,#周深遇见花西子#这个世界上，不早不晚。刚刚好遇见你，欢笑是你陪我，悲伤也是你陪我，你的声音给我太多的力量，太多的鼓舞。加油！周深,,,,周深遇见花西子,0,0,0,2023-10-05 00:33,OPPO A92s,,,
