id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4945992640106861,NjitG0rNz,1750070171,36氪,【#氪星播报#｜9月14日晚间都有哪些#今日大事件#？】Top3大新闻1、#网友曝花西子五只化妆刷919元#，材质是人造纤维毛2、#中国航天回应墨西哥展出疑外星遗骸#：尚未发现外星人存在的确凿证据3、国铁集团：铁路12306候补购票功能运行稳定，#12306候补购票成功率达75%#科技财经互联网热点1、#Mate60Pro商标被抢注#，当前商标状态为申请中2、#汪小菲麻六记新公司叫麻九记#，法定代表人为杨晓风3、#鸿星尔克回应带货其他品牌#：都是爱国品牌4、科学家警告：#本世纪末百年一遇洪水或变年年遇#5、#奈雪按销售情况向周杰伦支付IP费#，#你抢到奈雪范特西奶茶了吗#？还有哪些其他要闻1、#两名13岁学生将清洁漂白液倒入同学水杯#，警方：系清洁漂白混合液2、#00后大学生8天7夜坐公交旅行10座城市#，途经632个站点3、#小伙被骗缅北途中微信报警获救#：称自己即将被骗到缅甸，并附有视频4、#关于我爸54岁用的微信头像#：我爸用的头像瞬间拉开了年代感5、#医院回应入职体检智商偏低#：已进行调查处理6、#小车侧翻1分钟冲出40多名抬车勇士#，一群人，一条心7、#高校应届生为何选择慢就业#？#慢就业毕业生平均期望月薪11141元#8、#江苏餐厅使用预制菜应明示#，#餐厅使用预制菜应明示吗#？,,,,"氪星播报,今日大事件,网友曝花西子五只化妆刷919元,中国航天回应墨西哥展出疑外星遗骸,12306候补购票成功率达75%,Mate60Pro商标被抢注,汪小菲麻六记新公司叫麻九记,鸿星尔克回应带货其他品牌,本世纪末百年一遇洪水或变年年遇,奈雪按销售情况向周杰伦支付IP费,你抢到奈雪范特西奶茶了吗,两名13岁学生将清洁漂白液倒入同学水杯,00后大学生8天7夜坐公交旅行10座城市,小伙被骗缅北途中微信报警获救,关于我爸54岁用的微信头像,医院回应入职体检智商偏低,小车侧翻1分钟冲出40多名抬车勇士,高校应届生为何选择慢就业,慢就业毕业生平均期望月薪11141元,江苏餐厅使用预制菜应明示,餐厅使用预制菜应明示吗",0,0,2,2023-09-14 22:00,微博网页版,['https://wx2.sinaimg.cn/large/001Ur7cfgy1hhwb1k0e5ij60nm294b2a02.jpg'],,
4940519957856701,Nh06LwXSZ,5861115930,孙珍妮的微博,稍纵即逝的好天气☁️孙珍妮,,,,,24776,19592,35120,2023-08-30 19:33,孙珍妮超话,"['https://wx1.sinaimg.cn/large/006oEDZUly1hhdv0iaxg4j323u35skjm.jpg', 'https://wx2.sinaimg.cn/large/006oEDZUly1hhdv0o3y8rj323v35s7wi.jpg']",,
4945992635391213,NjitFmCv3,7444650559,橘子洲头黄焖鸡,#孙珍妮替嫁小才女#szn#孙珍妮唐小山##孙珍妮花西子品牌挚友#szn#妙可蓝多品牌挚友孙珍妮##青年演员孙珍妮#szn#孙珍妮迪士尼在逃公主#,,,,"孙珍妮替嫁小才女,孙珍妮唐小山,孙珍妮花西子品牌挚友,妙可蓝多品牌挚友孙珍妮,青年演员孙珍妮,孙珍妮迪士尼在逃公主",0,0,35120,2023-09-14 21:59,nova11系列敢拍敢出色,,,4940519957856701
4945992560153250,Njity0DRM,7766981398,假装自己是个很凶的美女,#网友曝花西子五只化妆刷919元#真的假的？,,,,网友曝花西子五只化妆刷919元,0,0,0,2023-09-14 21:59,荣耀X40,['https://wx1.sinaimg.cn/large/008tDsFwly1hhwgif47wcj30tx0zhjtv.jpg'],,
4945992510348197,Njitt1sA5,6939080908,娱乐影视掌门,#宫二终于知道了谁才是无锋首领#说不好看的真搞不懂跟ljq直播间说花西子贵一样那别看呗非要显摆一下多谢夸奖少些戾气ok,,,,宫二终于知道了谁才是无锋首领,0,0,0,2023-09-14 21:59,微博网页版,,,
4945992500905275,Njits3Nvd,1922695955,吃不了生活的苦,花西子可能就这么完蛋倒闭了，成也萧何败也萧何,,,,,0,0,2,2023-09-14 21:59,iPhone客户端,['https://wx4.sinaimg.cn/large/729a0313gy1hhwghvy5wmj20zu25odzf.jpg'],,
4945992431175427,Njitl4VMv,5853552241,芒果瓜子,#网友曝花西子五只化妆刷919元#说那些什么用，花西子不还在照样卖货，李佳琦不还是照样在带货，不还是有人疯狂买，愿意买的还是愿意买，不愿意买的还是不愿意买,,,,网友曝花西子五只化妆刷919元,0,0,1,2023-09-14 21:59,vivo T1x,,,
4945992413352961,Njitje4g1,3001035795,A大猴,花西子这种烂牌子用了会烂脸吧,,,,,0,6,3,2023-09-14 21:59,iPhone客户端,,,
4945992389234205,NjitgCKeN,6221268021,巴塞尔联盟,#李佳琦哭着道歉##李佳琦##李佳琦带货怼网友##李佳琦就直播言论致歉##花西子回应李佳琦佣金比例达八成#确实，努力和收入不正比这是天下矛盾的根源。这个视频有水平。L巴塞尔联盟的微博视频,,,,"李佳琦哭着道歉,李佳琦,李佳琦带货怼网友,李佳琦就直播言论致歉,花西子回应李佳琦佣金比例达八成",1,0,2,2023-09-14 21:59,微博视频号,,"http://f.video.weibocdn.com/o0/LYG8HpRnlx088BsJF5Ak01041200eMOj0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1696943916&ssig=Rf6ihebSzq&KID=unistore,video",
4945992387659182,Njitgw8vc,7394100065,推荐娱乐人,花西子真的死的太值了认识到了好多老国货,,,,,0,0,18,2023-09-14 21:59,,['https://wx1.sinaimg.cn/large/0084oTctly1hhw4eooaw6j30u011v7a3.jpg'],,
4945992278609728,Njit5A7MA,7543053400,遥木诗,除了花西子其他国货品牌都可以趁机捞一笔了今天这个高铁宣传片也是可以让NARS大赚一笔了,,,,,0,2,0,2023-09-14 21:58,iQOO Neo5S 双芯旗舰,"['https://wx2.sinaimg.cn/large/008etSLCly1hhwggg1ov6j30u01uowup.jpg', 'https://wx2.sinaimg.cn/large/008etSLCly1hhwggmghxoj30u01uowvs.jpg']",,
4945992270223178,Njit50W3E,5711625251,宇宙第一酷哦,谢谢花西子让我天天在各个直播间找乐子,,,,,0,0,1,2023-09-14 21:58,,,,
4944598297740136,NiIcJwtyU,1968758563,李佳琦Austin,今天没有用“所有女生”开头，因为李佳琦让大家失望了，在看这条微博的所有人，对不起。我刚刚结束今天的工作，昨天我在直播间回应产品评论时，说了些不恰当、让大家不舒服的话。今天工作的时候我也一直在反思，在回想，如果我是评论里的那位女生，会多失望啊。我本就是一个彩妆柜台销售员，深知大家的工作都是辛苦和不容易的。我说的话辜负了你们的期望，真的很抱歉。之所以没有立马回应，是我想结束工作后认真地向评论里的那位女生道歉，任何人都可以对直播间的产品提出意见和想法。我作为主播应该一直带给大家积极的正能量，并学会控制情绪。一路走来，我知道大家的信任才是直播间最重要的基础。我也希望一直保持最好的状态陪伴大家，我会认真倾听大家的建议，用心服务好所有的消费者。再次说声对不起，诚恳接受大家的批评。—李佳琦,,,,,23773,333457,7502347,2023-09-11 01:39,,,,
4945992236404651,Njit1qS8P,5999050657,WinnieSylvia,//@快乐冲浪不要生气:花西子之前没这么贵现在这么贵他占80%的原因//@奶茶meow_:这么多年没把花西子的价格打下来，你怎么不反思一下你工作是不是不努力啊,,,"快乐冲浪不要生气,奶茶meow_",,0,0,7502347,2023-09-14 21:58,三星S21 5G,,,4944598297740136
4945992195246048,NjisXm0JG,7819518132,讷讷唔oo,#花西子#不是79元大家买不起只是卖货的人嘴太臭了还没有性价比#为什么花西子这么贵#,,,,"花西子,为什么花西子这么贵",0,1,3,2023-09-14 21:58,iPhone客户端,,,
