screen_name,profile_image_url,location,created_time,text
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696922592&ssig=%2F%2FYWm5nIsQ",浙江,Tue Sep 19 22:25:25  2023,谢谢大家的声音，花西子准备了一万份“花西币”和100份礼盒，免费给大家体验，征集使用体验。感兴趣的朋友可以看看这里：http://t.cn/A6OWVfCj
曾经的逸动,"https://tvax2.sinaimg.cn/crop.0.0.1034.1034.50/005PbUQuly8hehc8eu4poj30sq0sqmyo.jpg?KID=imgbed,tva&Expires=1696922592&ssig=3SvBiDfqcR",四川,Tue Sep 19 17:44:55  2023,作为一个只单纯用过你家口红的人来说几句，我买过雕花口红，至少我觉得是在用心做产品的。膏体质感也不错
Walter-S,"https://tvax3.sinaimg.cn/crop.0.0.1032.1032.50/722a1c31ly8hd6xte9n3hj20so0sot9r.jpg?KID=imgbed,tva&Expires=1696922592&ssig=gC90sTMvrj",浙江 杭州,Tue Sep 19 17:47:26  2023,国货当自强，加油[鲜花]
张韵zhangyun,"https://tva3.sinaimg.cn/crop.0.0.180.180.50/6f8a86a6jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1696922592&ssig=XXFGK6owkf",上海 长宁区,Tue Sep 19 20:17:46  2023,用过花西子品牌的高光，不错。坚持品质，品质是品牌最好的代言。
莫说花開22624,"https://tvax4.sinaimg.cn/crop.0.0.700.700.50/006to2OIly8hi25qh38maj30jg0jgq74.jpg?KID=imgbed,tva&Expires=1696922592&ssig=%2F29qhAr5lQ",其他,Tue Sep 19 20:18:32  2023,我最喜欢小黛伞。有一次要和国外客户拉关系还送了一支雕花口红，外国友人也赞不绝口。请坚持初心，用心打造产品，花西子老板可是说过要让外国人花大钱来买我们国货彩妆的哦！加油[拳头]
库洛米疯特,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/7109e830ly8gcrkjfvbyvj20u00u0mzo.jpg?KID=imgbed,tva&Expires=1696922592&ssig=3QbG%2FA9mXU",浙江 杭州,Tue Sep 19 18:04:31  2023,用过蜜粉和卸妆油还不错的，这个就喜欢的人还是喜欢的，不喜欢不买就行
JR_季然的然,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/6c64d0bcly8hhh449e7suj20u00u0wgo.jpg?KID=imgbed,tva&Expires=1696922592&ssig=PLTDQtJmhK",海外 新西兰,Tue Sep 19 18:08:09  2023,我只用过花西子气垫和散粉，说实话个人感觉出乎意料的好用！也让我对国货彩妆有了改观！希望国货越来越好！
T是你的甜呀,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/e9e32fbcly8hdb811wxguj20u00u03zd.jpg?KID=imgbed,tva&Expires=1696922592&ssig=Rgj4nj4Q7O",河南,Tue Sep 19 19:15:09  2023,花自己的钱 买自己喜欢的东西。 http://t.cn/A6OWJI9t
始于颜值终于你xx,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006i8l7Fly8h8itbsidrhj30u00u0jth.jpg?KID=imgbed,tva&Expires=1696922592&ssig=bylGT3U70W",陕西 西安,Tue Sep 19 17:45:10  2023,加油[心]
森客电商,"https://tvax4.sinaimg.cn/crop.0.0.281.281.50/008yXvBNly8hfsppbp26yj307t07tt8k.jpg?KID=imgbed,tva&Expires=1696922592&ssig=5bkjuAynlB",其他,Tue Sep 19 19:06:38  2023,还是真心的希望花西子能长期发展下去，成为真正的国货之光！价格能对得起产品就行！
