screen_name,profile_image_url,location,created_time,text
吼哈啦耶,"https://tvax1.sinaimg.cn/crop.0.0.1002.1002.50/0067bl95ly8gna94814mmj30ru0rvtd9.jpg?KID=imgbed,tva&Expires=1696922106&ssig=AUPXOU9cBO",江苏 徐州,Sun Sep 10 14:27:40  2023,天呐，李佳琦直播间看不起收入低的我们哎，钱就是太好赚了，他为了你们把我们侮辱了个遍，真了不起，以前没买，将来也不会买你家的
甜甜圈大王子,"https://tvax3.sinaimg.cn/crop.0.0.888.888.50/88470befly8fux8u5dlowj20oo0oowfq.jpg?KID=imgbed,tva&Expires=1696922106&ssig=vzq6rsVmCw",浙江 杭州,Sun Sep 10 15:49:33  2023,平民不敢高攀花西子
粉衣路人,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/ee015d0fly8hdxzr2q8wnj20e80e8mxs.jpg?KID=imgbed,tva&Expires=1696922106&ssig=jUORYdjRoA",辽宁,Sun Sep 10 15:42:31  2023,79 里面 30 得给李佳琦吧[太开心]
YY嘻阳,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/005IlWdyly8g53si86csaj30ro0ro76d.jpg?KID=imgbed,tva&Expires=1696922106&ssig=pk4%2BQJL0S9",四川 广安,Sun Sep 10 15:57:19  2023,就单论李佳琪那番话，再也不买花西子这个品牌了，反正你们品牌也不缺我这一个顾客，886，继续傲慢下去吧~
北极兔与熊,"https://tvax4.sinaimg.cn/crop.0.0.600.600.50/006aBYSwly8h58y8i4sc8j30go0go751.jpg?KID=imgbed,tva&Expires=1696922106&ssig=jCRtOwqVV6",其他,Sun Sep 10 20:38:03  2023,李佳琪说了“国货很难的”，那你们可要反思一下自己了，为什么会很难啊？是不是不努力啊？这么多年销量涨了多少？努力的话怎么会难呢
酒酿巧克力月亮泡芙,"https://tvax3.sinaimg.cn/crop.0.0.690.690.50/007ZpYLTly8hclr40wy6xj30j60j6gmz.jpg?KID=imgbed,tva&Expires=1696922106&ssig=AZG%2Bo8yZlu",四川,Sun Sep 10 15:51:46  2023,看不起打工人是吧？你家的东西就是贵！
桃葫芦儿,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/006WGoVZly8hhseythm54j30u00u0dkx.jpg?KID=imgbed,tva&Expires=1696922106&ssig=oorrSbQOZr",其他,Sun Sep 10 15:39:41  2023,贵就是贵
老皮鞋酸酸奶,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/006NlN8Kly8hh3cwb51erj30u00u0wlh.jpg?KID=imgbed,tva&Expires=1696922106&ssig=Jr9eXx8RRg",其他,Sun Sep 10 16:08:07  2023,哟 就是你们家卖比金子还贵的眉笔呀[憧憬][憧憬]
上古年间的师傅,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/00610yf7ly8hi2osdzwdxj30u00u0wge.jpg?KID=imgbed,tva&Expires=1696922106&ssig=E%2BHIbBvUi3",河北,Sun Sep 10 16:00:57  2023,我来反省了 我不配买李佳琦带货的花西子[舔屏]
夕阳20886,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/008hmOBzly8hipfnz3d6qj30u00u00sn.jpg?KID=imgbed,tva&Expires=1696922106&ssig=OmiVOYrisO",海南,Sun Sep 10 16:37:17  2023,你们整天拿国货之光称号，一天能赚多少钱？[吐]
A-还是要努力呀,"https://tvax3.sinaimg.cn/crop.0.0.1002.1002.50/008fbxLOly8gmvo82yrq1j30ru0ruwj0.jpg?KID=imgbed,tva&Expires=1696922106&ssig=oXEij1tieW",陕西,Sun Sep 10 17:00:47  2023,为什么我一直觉得花西子很low
耍赖皮大王,"https://tvax3.sinaimg.cn/crop.0.0.828.828.50/005wktoAly8hhf2ywap0yj30n00n0gmd.jpg?KID=imgbed,tva&Expires=1696922106&ssig=3W3OIYSqEA",其他,Sun Sep 10 20:56:56  2023,你爹是李嘉琦还是消费者？？
宝贝你的昵称已修改,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/008d64HFly8hguagg13ytj30e80e8q3f.jpg?KID=imgbed,tva&Expires=1696922106&ssig=CP5nSn2S0r",安徽 合肥,Sun Sep 10 15:54:54  2023,以前经常买你家散粉，以后再也不买了，普普通通打工人，工资没涨，我也有好好工作，工资低就不能嫌东西贵了吗[二哈][二哈]
高级土豆,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/008pt3h6ly8gyj2fw723lj30u00u0wfe.jpg?KID=imgbed,tva&Expires=1696922106&ssig=uIxSO2WE5w",宁夏 银川,Sun Sep 10 16:01:02  2023,你们养的好狗真不错 哦 你们也不配叫资本家 撑死了也就是个只会在窝里横的掮客
张曼鱼,"https://tvax3.sinaimg.cn/crop.0.0.1077.1077.50/007QzgZcly8hi3cv730msj30tx0txjts.jpg?KID=imgbed,tva&Expires=1696922106&ssig=00aeKrlQs5",其他,Sun Sep 10 17:45:27  2023,你给李佳琦多少钱啊？为了你去阴阳万千网友？
Jy-Z1y,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/006GHet6ly8g9q7ag49jqj30u00u0jt9.jpg?KID=imgbed,tva&Expires=1696922106&ssig=%2B1267lsVxZ",其他,Sun Sep 10 20:45:21  2023,用心做宣传，用脚做产品，我真的哭死[泪]
憨厚的ycyc,"https://tva2.sinaimg.cn/crop.0.0.170.170.50/006jFyHfjw8eyt2yb5mzmj304q04qt8h.jpg?KID=imgbed,tva&Expires=1696922106&ssig=zPlsqHOBKC",安徽 淮北,Sun Sep 10 15:39:53  2023,打工人不配
喵北_SA,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/005IyWKOly8hgjykfbrnoj30u00u00x4.jpg?KID=imgbed,tva&Expires=1696922106&ssig=Gi52qqK5H0",四川,Mon Sep 11 00:11:04  2023,铺天盖地的营销 东西做得像一坨💩 怎么还好意思一根眉笔卖79的啊[桃里桃气][桃里桃气]
幼稚园大队长Mina,"https://tvax1.sinaimg.cn/crop.0.0.1024.1024.50/005I7fnHly8hgf8zwjextj30sg0shaef.jpg?KID=imgbed,tva&Expires=1696922106&ssig=vZJB9UAm31",北京,Sun Sep 10 20:50:27  2023,抵制花西子
络腮胡子遛锅ber,"https://tva1.sinaimg.cn/crop.0.0.180.180.50/7033d830jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1696922106&ssig=Sbw4rek4pE",四川 成都,Sun Sep 10 20:47:31  2023,这牌子应该没了吧，以后谁买谁傻批呀，，，，，，
奶丸不守时日记,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/007iyU3fly8himi3oy16bj30u00u075z.jpg?KID=imgbed,tva&Expires=1696922107&ssig=pmhwVZ4VeQ",河南,Sun Sep 10 16:01:47  2023,我们打工人招你惹你了[泪][泪]
