screen_name,profile_image_url,location,created_time,text
古今惟一状元驸马郑颢,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/005QwOnnly8hbgucb34p2j30u00u0acu.jpg?KID=imgbed,tva&Expires=1696923778&ssig=WSJ3gnBKM%2F",其他,Mon Oct 02 09:39:44  2023,看来真的换人了。所以，发疯的那个才上了几天班？工资怎么结的？
苏下下喜欢吃青椒,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/005yWnjily8ghyvjwng3sj30e80e8dgf.jpg?KID=imgbed,tva&Expires=1696923778&ssig=RssqEIB4XD",其他,Mon Oct 02 12:51:27  2023,不是让消费者去boss找工作吗。我看你背刺消费者挺在行啊
熊猫回血,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/007KuuSmly8g7767yzo2bj30u00u0wgi.jpg?KID=imgbed,tva&Expires=1696923778&ssig=4f64pEL8Ev",其他,Mon Oct 02 10:26:17  2023,被dis的不发疯了！
Cloud格子,"https://tvax2.sinaimg.cn/crop.0.0.960.960.50/0073xW2qly8h1t0pbet7mj30qo0qogo5.jpg?KID=imgbed,tva&Expires=1696923778&ssig=GOnGZIepJg",重庆,Mon Oct 02 20:43:39  2023,花西子，狗都不买[笑cry]
芜湖挖藕藕也,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/007BSQLLly8hagc92jjrrj30u00u0whz.jpg?KID=imgbed,tva&Expires=1696923778&ssig=Qs1iyUS7oh",海南,Mon Oct 02 16:44:52  2023,不好意思啊，在首页刷到你那条言之无物的声明了，特地进来骂一下你[太开心][太开心][太开心]
零淚雪namidayuki,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/9de7cd85ly8h886evrlbuj20u00u0q68.jpg?KID=imgbed,tva&Expires=1696923778&ssig=%2Fs30MTAK5g",广东,Sat Oct 07 16:50:43  2023,你给丘妈设计的造型真的不合适，好难看，我是丘妈我真的想报警了
春禾树,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006PllOYly8hg5kpgmawrj30u00u0wfm.jpg?KID=imgbed,tva&Expires=1696923778&ssig=MwRY3jVmq%2F",河南,Mon Oct 02 09:39:03  2023,今天怎么不发疯啦[哈哈]
派大星摸鱼,"https://tvax4.sinaimg.cn/crop.0.0.908.908.50/007EgEAvly8hghjziqcp9j30p80p8t9r.jpg?KID=imgbed,tva&Expires=1696923778&ssig=s24M%2F5ffFH",江西,Mon Oct 02 09:24:09  2023,西西子还不错哦[doge]
bigvvdd,"https://tvax1.sinaimg.cn/crop.0.0.720.720.50/006qjGIOly8h6as4qiwdxj30k00k0mxe.jpg?KID=imgbed,tva&Expires=1696923778&ssig=ILSe%2BLPHwJ",其他,Mon Oct 02 09:42:36  2023,开始上班了吗
是你的小i吗,"https://tvax3.sinaimg.cn/crop.0.0.132.132.50/008ebo7Qly4glvv07cwkej303o03oglf.jpg?KID=imgbed,tva&Expires=1696923778&ssig=jAEdgEean0",其他,Mon Oct 02 14:47:40  2023,今天怎么不发疯了给你一巴掌看你发不发电[挤眼][挤眼][挤眼]
木木09_11,"https://tvax4.sinaimg.cn/crop.0.0.132.132.50/0085XYDZly4gd1q9m3vkpj303o03o743.jpg?KID=imgbed,tva&Expires=1696923778&ssig=2ovXAAXcaP",其他,Mon Oct 02 09:19:41  2023,所以还不打算告诉我们小李子拿了多少点，还不打算给它降下来吗？[笑cry]
夏日甜心巧克力蛋糕,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/006Yfb32ly8h9gbrmn5fsj30ro0ro77c.jpg?KID=imgbed,tva&Expires=1696923778&ssig=FDZd4cfSGE",广东 惠州,Mon Oct 02 15:56:43  2023,抽奖吗
