screen_name,profile_image_url,location,created_time,text
Biu_张毛毛,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/006D2Poqly8glbdlar7q1j30e80e8gmn.jpg?KID=imgbed,tva&Expires=1696923386&ssig=AFtCSIaeXK",江苏,Fri Sep 29 09:17:31  2023,发疯那个辞退了？[doge]
夜旅人的一生,"https://tvax1.sinaimg.cn/crop.0.0.990.990.50/005PWmxRly8hbewskxkpaj30ri0rjjsh.jpg?KID=imgbed,tva&Expires=1696923386&ssig=FPkRcV7CNB",宁夏,Fri Sep 29 12:59:49  2023,下次发疯带上卫生巾，让卫生巾便宜一点
很难不无语子,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/006iL1Dkly8hboh0hui5mj30e80e83z2.jpg?KID=imgbed,tva&Expires=1696923386&ssig=g2sDcVUjfp",其他,Fri Sep 29 09:07:54  2023,你是打算让大家都淡忘这件事吗[二哈]
派蒙被吃了,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/008pUrIzly8hf7xoajab4j30u00u0dkq.jpg?KID=imgbed,tva&Expires=1696923386&ssig=OI8rg84E72",四川 内江,Fri Sep 29 09:47:27  2023,请问中秋节阁下吃的是79的月饼吗[二哈]？
飞飞痘,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/0086XBpZly8hgsva2owa4j30e80e80ta.jpg?KID=imgbed,tva&Expires=1696923386&ssig=%2Fi68rct1HS",北京,Fri Sep 29 09:43:48  2023,大姐抽中的奖什么时候发货啊？地址填这么久也不吱一声？
袖子破了,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/bb807a3ajw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1696923386&ssig=4wPOLidUv9",北京 海淀区,Fri Sep 29 11:49:08  2023,这是ChatGPT生成的文案吗？
唐斩俗叔,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/5e0a547dly8gz4bdkrdiyj20e80e874l.jpg?KID=imgbed,tva&Expires=1696923386&ssig=zO991KkM5r",其他,Sat Sep 30 05:13:58  2023,快点和卫生巾比，快点[微笑]
搭上一等啵气顺风车来到大树下读,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/007H3VTrly8hgpjv4ga0mj30u00u0grd.jpg?KID=imgbed,tva&Expires=1696923386&ssig=cQZwmKKppc",山东 泰安,Fri Sep 29 09:01:16  2023,别逼我求你再多说几句“好话”
借机行事,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/007Hjr90ly8hhpd07pkiaj30e80e8wf2.jpg?KID=imgbed,tva&Expires=1696923386&ssig=mKAldnkR12",其他,Fri Sep 29 09:15:16  2023,你好，你接下来打算怎么回应[微笑]
臭屁小孩咚澈哩,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/b8e7924bly8g3exfx831jj20ro0rotbh.jpg?KID=imgbed,tva&Expires=1696923386&ssig=9445%2FlTF9I",海外 法国,Fri Sep 29 18:51:53  2023,我当天就填写了地址。好几天没动静。今天一看显示我放弃了？这？？？？[汗] http://t.cn/A6O3pICS
全面建成小康社会DCq,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/008xX0rqly8hcoqv9mkeaj30u00u0adt.jpg?KID=imgbed,tva&Expires=1696923386&ssig=DFkCUwCrCB",陕西,Sat Sep 30 14:26:58  2023,一根得力自动铅笔能用一年以上没问题，一根花西子眉笔2个月没了[doge]
超话社区,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006pQfMcly8h8v3tovfguj60u00u0q3z02.jpg?KID=imgbed,tva&Expires=1696923386&ssig=iDrCWdpVjV",北京,Fri Sep 29 09:00:02  2023,你好，你感兴趣的“中秋节”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> #中秋节[超话]#
-柒王爷my,"https://tvax1.sinaimg.cn/crop.0.0.960.960.50/008sOoFZly8hilsjdedrtj30qo0qomyq.jpg?KID=imgbed,tva&Expires=1696923386&ssig=vKQeJbj6jV",青海 西宁,Fri Sep 29 09:09:17  2023,中秋快乐
寒窑墨客,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/7e35cb15ly8h1eaqppgtgj20u00u0gmy.jpg?KID=imgbed,tva&Expires=1696923386&ssig=1P%2BDcGpNwl",云南 昆明,Sat Sep 30 18:42:17  2023,下次发疯带上华为，把mate60价格打到79，你就是人民的功臣[doge]
lyf的圈外好友,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/007awroaly8heouxt7aisj30u00u1mzx.jpg?KID=imgbed,tva&Expires=1696923386&ssig=wYEYrDS8s1",江苏,Sat Oct 07 12:42:16  2023,🌙
骷髅熊喵er,"https://tvax1.sinaimg.cn/crop.0.0.690.690.50/4c6b0729ly8hi5chwdt2oj20j60j6400.jpg?KID=imgbed,tva&Expires=1696923386&ssig=3zoGLKt%2F%2Br",浙江 杭州,Fri Sep 29 22:49:02  2023,中秋快乐  今年希望是花西子的最后一个中秋
紅莓黑加侖愛情水,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/a21ebcd4ly8h9l0mk31tnj20e80e80u8.jpg?KID=imgbed,tva&Expires=1696923386&ssig=Ovea%2BOV5IM",四川,Fri Sep 29 19:32:05  2023,下次发疯带上卫生巾吧。
幸福就在别处,"https://tva2.sinaimg.cn/crop.0.0.720.720.50/826e5127jw8eudsg4k914j20k00k0dgr.jpg?KID=imgbed,tva&Expires=1696923386&ssig=R33m4tJBb3",四川 成都,Fri Sep 29 16:33:00  2023,中秋快乐🎑
6669o,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/006p0BoWly8gd2dxq3629j30ro0romz9.jpg?KID=imgbed,tva&Expires=1696923386&ssig=HPJ68UWBmC",福建 厦门,Fri Sep 29 14:54:46  2023,66
牛屎味的饼干,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/008zSuwuly8hi8sqq99f7j30u00u0418.jpg?KID=imgbed,tva&Expires=1696923386&ssig=J5s4zeE%2Bll",湖北 荆州,Fri Sep 29 09:01:53  2023,[心][心][心]
Babe_Milla,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/a16ad295ly8hig4qb1vrzj20u00u0acm.jpg?KID=imgbed,tva&Expires=1696923387&ssig=euj51WdSg0",山东 威海,Fri Sep 29 17:27:23  2023,营销都推荐到我首页了，那我就顺口骂一句。你这个……大……蠢猪！
小夭往哪里逃,"https://tvax4.sinaimg.cn/crop.0.0.828.828.50/008vkmSlly8hg5kyiwu5sj30n00n040x.jpg?KID=imgbed,tva&Expires=1696923387&ssig=M%2FMF5Pc6HH",北京,Mon Oct 02 15:55:23  2023,[心]
bigvvdd,"https://tvax1.sinaimg.cn/crop.0.0.720.720.50/006qjGIOly8h6as4qiwdxj30k00k0mxe.jpg?KID=imgbed,tva&Expires=1696923387&ssig=rYGt%2Bphznb",其他,Mon Oct 02 14:16:58  2023,哈哈
-柒王爷my,"https://tvax1.sinaimg.cn/crop.0.0.960.960.50/008sOoFZly8hilsjdedrtj30qo0qomyq.jpg?KID=imgbed,tva&Expires=1696923387&ssig=tomjeVRDCD",青海 西宁,Sun Oct 01 18:13:41  2023,[doge]
为为豆奶_flower,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/007Rv379ly8g4fjd8j0ooj30ro0rogos.jpg?KID=imgbed,tva&Expires=1696923387&ssig=t4tP%2BvPu9F",四川 成都,Fri Sep 29 23:36:51  2023,西子今天又是pf的一天
-柒王爷my,"https://tvax1.sinaimg.cn/crop.0.0.960.960.50/008sOoFZly8hilsjdedrtj30qo0qomyq.jpg?KID=imgbed,tva&Expires=1696923387&ssig=tomjeVRDCD",青海 西宁,Fri Sep 29 21:06:23  2023,[可怜]
友谊已走到尽头啦l,"https://tvax4.sinaimg.cn/crop.0.0.720.720.50/006TtiNfly1hf29g4j0qdj30k00k0wg8.jpg?KID=imgbed,tva&Expires=1696923387&ssig=UqFREzUvgK",山东 枣庄,Fri Sep 29 16:11:45  2023,[羞嗒嗒]
努力的小蜗牛s,"https://tvax2.sinaimg.cn/crop.0.0.999.999.50/85a781f7ly8h64lfwv2w8j20rr0rr0t1.jpg?KID=imgbed,tva&Expires=1696923387&ssig=4hFNQQydZl",安徽 蚌埠,Fri Sep 29 13:36:16  2023,就是过来增加中奖率
为为豆奶_flower,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/007Rv379ly8g4fjd8j0ooj30ro0rogos.jpg?KID=imgbed,tva&Expires=1696923387&ssig=t4tP%2BvPu9F",四川 成都,Fri Sep 29 12:45:28  2023,哈哈哈开奖啦西子
喜欢就笑十四度,"https://tvax1.sinaimg.cn/crop.0.0.828.828.50/008luRwqly8hebz8vtivej30n00n075h.jpg?KID=imgbed,tva&Expires=1696923387&ssig=5no1WuE3g3",其他,Fri Sep 29 09:54:36  2023,中秋快乐
