screen_name,profile_image_url,location,created_time,text
微博抽奖平台,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/0065KBoBly8h8v3q01rdaj60ro0roaar02.jpg?KID=imgbed,tva&Expires=1696922928&ssig=gwnn%2FVuprk",北京,Tue Sep 26 18:03:08  2023,奖品名称：花西子眉粉笔（色号随机）*100人，花西子眉粉笔（色号随机）*100人，花西子眉粉笔（色号随机）*100人；抽奖时间：2023-10-07 14:00:00；抽奖规则：http://t.cn/A6OENUvr
微博抽奖平台,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/0065KBoBly8h8v3q01rdaj60ro0roaar02.jpg?KID=imgbed,tva&Expires=1696922928&ssig=gwnn%2FVuprk",北京,Sat Oct 07 14:15:05  2023,奖品名称：花西子首乌眉粉笔一支（色号随机）*100人，花西子首乌眉粉笔一支（色号随机）*100人，花西子首乌眉粉笔一支（色号随机）*100人；抽奖时间：2023-10-07 14:25:00；抽奖规则：http://t.cn/A6OENUvr
微博抽奖平台,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/0065KBoBly8h8v3q01rdaj60ro0roaar02.jpg?KID=imgbed,tva&Expires=1696922928&ssig=gwnn%2FVuprk",北京,Sat Oct 07 14:14:04  2023,奖品名称：花西子首乌眉粉笔一支（色号随机）*100人，花西子首乌眉粉笔一支（色号随机）*100人，花西子首乌眉粉笔一支（色号随机）*100人；抽奖时间：2023-10-07 14:20:00；抽奖规则：http://t.cn/A6OENUvr
微博抽奖平台,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/0065KBoBly8h8v3q01rdaj60ro0roaar02.jpg?KID=imgbed,tva&Expires=1696922928&ssig=gwnn%2FVuprk",北京,Sat Oct 07 14:33:02  2023,奖品名称：花西子首乌眉粉笔一支（色号随机）*100人，花西子首乌眉粉笔一支（色号随机）*100人，花西子首乌眉粉笔一支（色号随机）*100人；抽奖时间：2023-10-07 14:40:00；抽奖规则：http://t.cn/A6OENUvr
微博抽奖平台,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/0065KBoBly8h8v3q01rdaj60ro0roaar02.jpg?KID=imgbed,tva&Expires=1696922928&ssig=gwnn%2FVuprk",北京,Sat Oct 07 14:13:03  2023,奖品名称：花西子首乌眉粉笔一支（色号随机）*100人，花西子首乌眉粉笔一支（色号随机）*100人，花西子首乌眉粉笔一支（色号随机）*100人；抽奖时间：2023-10-07 14:15:00；抽奖规则：http://t.cn/A6OENUvr
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696922928&ssig=OpFQYtTiot",浙江,Tue Sep 26 16:56:06  2023,我也有我想要保护的人[全力以赴]所以每年赚的钱都会拿出来一部分做公益[抱一抱][抱一抱]我4岁就成立了宜格慈善基金会；援建5所花西子希望小学；参与云南地震、河南暴雨、重庆旱灾、抗疫等全国各地的救援行动中。无论怎样，我还是会坚持做下去[奥特曼][奥特曼][奥特曼] http://t.cn/A6OEKvyr
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696922928&ssig=OpFQYtTiot",浙江,Tue Sep 26 16:54:30  2023,我[举手]还是想超大声说！！！！！我有20w+产品体验官[打call]每一个产品上市都必须经过1000+人次用户测评[并不简单]你们现在能买到的所有产品，都经过她们点头之后，才开始上架销售[哇]花西子眉笔上市四年已经升级到8.0版本了[酷]我们超牛的！ http://t.cn/A6OEoeUU
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696922928&ssig=OpFQYtTiot",浙江,Tue Sep 26 16:54:43  2023,中国品牌，一代有一代的使命！我这一代就是要以高端之势在国际市场上厮杀！！被嘲笑、被嘲讽，没有关系[可怜][可怜] 我已经在西湖边跟LV、Gucci当邻居[努力]还会在日本顶级百货伊势丹跟香奈儿门对门[努力][努力]接下来还要去法国、迪拜、美国  等我啊[老师好][老师好][老师好][老师好][老师好] http://t.cn/A6OEoDv1
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696922928&ssig=OpFQYtTiot",浙江,Tue Sep 26 16:57:17  2023,真的有人会拿克重去衡量眉笔的价值吗？[失望][失望][失望]大家小时候去文具店买铅笔时，在2B铅笔和自动铅笔之间，你最终是因为笔芯克重才买的自动铅笔吗？可是为什么2B铅笔一根只要几毛钱，而自动铅笔却要几块钱？这是为什么？大家小时候有想过这个问题吗？[失望][失望][失望]不会的你们不会的[悲伤] http://t.cn/A6OEK7Bx
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696922928&ssig=OpFQYtTiot",浙江,Tue Sep 26 16:54:59  2023,讲真心疼咱家产品经理。每款产品，老板都要亲自抠细节，每次汇报都很忐忑你懂吗[苦涩]产品从立项到上市要打磨近2年！过程中要是盲测打不过国际大牌，咱还得推倒重来，就是这么执着…产品上市后，老板还每天刷产品评论区，根据用户建议催着咱们迭代升级…微笑面对生活，心疼地抱紧了自己[委屈]
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696922928&ssig=OpFQYtTiot",浙江,Tue Sep 26 16:54:14  2023,家人们谁懂啊[可怜]谁家小孩6岁多就作为唯一一个美妆品牌，与茅台、阿里巴巴、华为等品牌一起列入了新华社“中国品牌全球传播力TOP10”榜单；央视还10多次报道了咱品牌出海、文化传承、社会公益的行动；第一个参加全球顶级行业时尚论坛BOF的美妆品牌......[并不简单][并不简单][并不简单] http://t.cn/A6OEog6F
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696922928&ssig=OpFQYtTiot",浙江,Tue Sep 26 16:55:44  2023,我们持之以恒地在坚持推动非遗文化的传承，助力非遗文化进入学校课堂，心中升起强烈的民族自豪感和认同感！[你好][你好]看着3500多名小朋友们穿上我们定制的民族文化特色的校服，心里别提有多少开心了！[月亮代表我的心][月亮代表我的心] http://t.cn/A6OEosU8
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696922928&ssig=OpFQYtTiot",浙江,Tue Sep 26 17:27:15  2023,说我服务不够好，我每天都在努力地改啊[悲伤]说我物流不够快？我加人手，我全国新建4个分仓，速度终于上去了！后来，你们居然说我心机，说物流太快都来不及退款？？[苦涩]行吧，受排挤是我的命运[泪]我不信邪，我偏要用最安全的快递箱，最稳定的物流网络，送到天涯海角，就是无条件宠粉！使命必达！
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696922928&ssig=OpFQYtTiot",浙江,Tue Sep 26 16:56:37  2023,老师教我们：一分钟有60秒，一天有24小时，一年有365天。可是你们知道由我发起的女性守护热线吗[给你小心心]它已经连续近3年为女性心理健康护航，服务了1万+人次、2万+小时[哇]我还会继续做下去[抱一抱]真的很希望可以帮助到大家啦🙏
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696922928&ssig=OpFQYtTiot",浙江,Wed Sep 27 09:48:13  2023,家人们谁懂啊？心疼咱家的质量打工人，真的超辛苦！制定超国际一线质量标准的“花西子标准”，每年还要花八位数做额外产品检验[泪]曾有一批蜜粉各项指标都符合国标，但一个指标与咱们的标准差百万分之0.7[吃惊]老板们眼睛都没眨，就销毁了这批成本近500万的产品！！不说了，去流水线赚花西币了
