screen_name,profile_image_url,location,created_time,text
花西子Florasis,"https://tvax2.sinaimg.cn/crop.86.80.631.631.50/006UPxKUly8g5czve8b5wj30m80m8k0a.jpg?KID=imgbed,tva&Expires=1696923145&ssig=rgJBJvfU2J",浙江,Thu Sep 28 16:23:05  2023,#我有一个梦想#花西子现征集大家喜爱的国货品牌，在评论区留言，点赞最高的10条评论将获得妆奁套盒一份。另外【转发+评论】抽1000位花伴送眉笔，再次祝大家双节快乐～
本人擅长睡大觉,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/005BwlSCly8hf1a75y6e9j30u00u0jxl.jpg?KID=imgbed,tva&Expires=1696923145&ssig=XHjrxoY%2B3D",北京,Thu Sep 28 16:45:16  2023,花西子，用了2年多了，确实还不错，一些品一直属于我的回购款，支持！！！
冯阿森,"https://tvax3.sinaimg.cn/crop.0.0.472.472.50/006h00mdly8gy7iuxcahmj30d40d4q3f.jpg?KID=imgbed,tva&Expires=1696923145&ssig=qq76csu6G6",其他,Thu Sep 28 16:42:43  2023,白象
长鼻王官方微博,"https://tvax4.sinaimg.cn/crop.79.77.641.641.50/6fa3f486ly8g94fvigrp7j20ml0mhjs5.jpg?KID=imgbed,tva&Expires=1696923145&ssig=fS6cgFi4fR",浙江 嘉兴,Thu Sep 28 16:56:58  2023,大家听说过长鼻王吗，30年的国货小零食[开学季] http://t.cn/A6OuASs9
漂亮宝贝睡着,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/006XCrN1ly8hi2hh66gzsj30u00u0dhn.jpg?KID=imgbed,tva&Expires=1696923145&ssig=kQTgBaKYky",上海,Thu Sep 28 16:33:19  2023,六神！！！！
大卤蛋198503,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/008hWKHNly8guug1domwyj30u00u0js8.jpg?KID=imgbed,tva&Expires=1696923145&ssig=eo%2BdSjXpd4",山西,Thu Sep 28 16:42:28  2023,大白兔奶糖
大白兔奶胖,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/88aa9ec1ly8h8ug6ex53ij20u00u0djj.jpg?KID=imgbed,tva&Expires=1696923145&ssig=4%2BrktkGed2",江苏 南京,Thu Sep 28 16:20:19  2023,好好好大家都知道了，接下来请用好产品证明🙈🙈🙈
零度之下的执着,"https://tvax1.sinaimg.cn/crop.0.0.1050.1050.50/007Qh9a9ly8hck4j7f1u3j30t60t6ju6.jpg?KID=imgbed,tva&Expires=1696923145&ssig=YdWlDFL627",北京,Thu Sep 28 16:32:25  2023,花西子的精神状态真好，一点都不内耗
不要抢我的排骨,"https://tvax1.sinaimg.cn/crop.0.0.700.700.50/007UChKily8hehhdroxu7j30jg0jgt9l.jpg?KID=imgbed,tva&Expires=1696923145&ssig=5MontIuBG4",四川,Thu Sep 28 16:24:09  2023,花西子：你们谁还有梦想，说出来，我投啦[doge]
半夏微凉风兮兮,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/007S2VEwly8hasslh36txj30u00u0tdi.jpg?KID=imgbed,tva&Expires=1696923145&ssig=xPfLGG9M1f",江西,Thu Sep 28 16:38:15  2023,花西子这心态好，与其内耗不如发疯
