screen_name,profile_image_url,location,created_time,text
微博抽奖平台,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/0065KBoBly8h8v3q01rdaj60ro0roaar02.jpg?KID=imgbed,tva&Expires=1696920378&ssig=YO%2FuCaIw1A",北京,Fri Aug 18 15:59:14  2023,奖品名称：优时颜眼霜18g*10人；抽奖时间：2023-08-21 00:30:00；抽奖规则：http://t.cn/A60FHGJP
李佳琦Austin,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/7558df23ly8h7arbhajkej20u00u0gmn.jpg?KID=imgbed,tva&Expires=1696920378&ssig=5z8mcJdWf%2B",上海 长宁区,Mon Aug 14 14:29:15  2023,关注+转评赞抽10人每人1份优时颜第三代「微笑」眼霜18g http://t.cn/A60rR4Wf
UNISKIN优时颜,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/006ZuP7Qly8g04xibyrcej30e80e8q2x.jpg?KID=imgbed,tva&Expires=1696920378&ssig=OPY%2FBBIacR",上海,Mon Aug 14 13:01:02  2023,我们在乎每个女生的微笑。李佳琦和优时颜邀请你，来到微笑照相馆，探索微笑的意义吧！[心][心][心][爱你]
海盐有点咸-Lucky,"https://tvax4.sinaimg.cn/crop.0.0.1020.1020.50/0088F6VHly8hhnvgu2jvxj30sd0scdj4.jpg?KID=imgbed,tva&Expires=1696920378&ssig=l2c0Lxuvyz",其他,Mon Aug 14 13:24:27  2023,佳琦的所有女生都应该有属于自己独一无二的美丽、每天有发自内心的“微笑”！跟着佳琦认识了很多好的品牌、优时颜就是其中之一，希望优时颜有越来越多好用的品、给我们所有女生好的offer[挤眼]
蜜丝-Tian,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/4bf3d935ly8hfcvurv4vlj20e80e8t9c.jpg?KID=imgbed,tva&Expires=1696920378&ssig=2hOdVP0ynr",四川 成都,Mon Aug 14 13:02:17  2023,"呀！""馆长""下午好！[哈哈]"
倒霉熊and流氓兔,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/951f4a79ly8hd7qin3p51j20u00u077p.jpg?KID=imgbed,tva&Expires=1696920378&ssig=hM9VWOvJ4l",其他,Mon Aug 14 14:32:56  2023,你的微笑对所有女生来说才是最迷人[爱你]@李佳琦Austin http://t.cn/A60rntJI
暖冬物语-by,"https://tvax1.sinaimg.cn/crop.0.0.1073.1073.50/957e3f5ely8hga79rnkwuj20tt0tttau.jpg?KID=imgbed,tva&Expires=1696920378&ssig=GY8coGxGmB",安徽 宿州,Mon Aug 14 13:07:59  2023,哇哦[开学季]
sweet蓝天白云,"https://tva3.sinaimg.cn/crop.0.0.180.180.50/85f17e5ajw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1696920378&ssig=GDzTEkV7tN",上海 徐汇区,Mon Aug 14 13:04:51  2023,不说话就是超级大帅哥[偷笑][偷笑]
tina罗小贝,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/d7141a7fly8hhuzbe8ioqj20u00u0n2m.jpg?KID=imgbed,tva&Expires=1696920378&ssig=EP1Bv5m0k8",其他,Sat Aug 19 05:05:58  2023,希望能看到我[嘻嘻]
tina罗小贝,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/d7141a7fly8hhuzbe8ioqj20u00u0n2m.jpg?KID=imgbed,tva&Expires=1696920378&ssig=EP1Bv5m0k8",其他,Sat Aug 19 05:05:44  2023,超级喜欢[嘻嘻]
tina罗小贝,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/d7141a7fly8hhuzbe8ioqj20u00u0n2m.jpg?KID=imgbed,tva&Expires=1696920378&ssig=EP1Bv5m0k8",其他,Fri Aug 18 01:43:58  2023,希望能有这个机会[嘻嘻]
tina罗小贝,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/d7141a7fly8hhuzbe8ioqj20u00u0n2m.jpg?KID=imgbed,tva&Expires=1696920378&ssig=EP1Bv5m0k8",其他,Wed Aug 16 05:51:52  2023,爱你哦[嘻嘻]
tina罗小贝,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/d7141a7fly8hhuzbe8ioqj20u00u0n2m.jpg?KID=imgbed,tva&Expires=1696920378&ssig=EP1Bv5m0k8",其他,Wed Aug 16 05:51:42  2023,爱佳琦[嘻嘻]
tina罗小贝,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/d7141a7fly8hhuzbe8ioqj20u00u0n2m.jpg?KID=imgbed,tva&Expires=1696920378&ssig=EP1Bv5m0k8",其他,Tue Aug 15 00:26:05  2023,期待已久[嘻嘻]
tina罗小贝,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/d7141a7fly8hhuzbe8ioqj20u00u0n2m.jpg?KID=imgbed,tva&Expires=1696920378&ssig=EP1Bv5m0k8",其他,Tue Aug 15 00:25:55  2023,冲冲冲[嘻嘻]
营哥很Nice,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/a65b41efly8ggvhsfvcrxj20u00u0n1i.jpg?KID=imgbed,tva&Expires=1696920378&ssig=GUWX6cmI39",河北 廊坊,Mon Aug 14 18:40:28  2023,来啦来啦
tina罗小贝,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/d7141a7fly8hhuzbe8ioqj20u00u0n2m.jpg?KID=imgbed,tva&Expires=1696920378&ssig=EP1Bv5m0k8",其他,Mon Aug 14 15:01:50  2023,我转转转[嘻嘻]
tina罗小贝,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/d7141a7fly8hhuzbe8ioqj20u00u0n2m.jpg?KID=imgbed,tva&Expires=1696920378&ssig=EP1Bv5m0k8",其他,Mon Aug 14 15:01:44  2023,我来了[嘻嘻]
-涂指甲的疯女人丶,"https://tvax1.sinaimg.cn/crop.0.0.179.179.50/7b04c1d6ly8h0otlsk2d6j204z04zmx1.jpg?KID=imgbed,tva&Expires=1696920378&ssig=9kN%2Bnl%2BP3j",福建 泉州,Mon Aug 14 14:35:50  2023,下午好呀
Kirby悦悦,"https://tvax2.sinaimg.cn/crop.0.0.896.896.50/75eb3e8bly8hcur9di4t4j20ow0owq4s.jpg?KID=imgbed,tva&Expires=1696920378&ssig=vFXwPAEcQ9",内蒙古,Mon Aug 14 13:03:41  2023,好久没笑的这么开心了
口袋里的丸子小姐姐,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/a5364d24ly8gng8khz8t7j20u00u076g.jpg?KID=imgbed,tva&Expires=1696920379&ssig=ZoxCr4V9IB",湖南 长沙,Mon Aug 14 13:12:30  2023,就是觉得帅唧唧的[打call][打call][打call]
三萬英尺的午夜咖啡館,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/6a9d6fa3ly8himiu9je73j20u00u0mze.jpg?KID=imgbed,tva&Expires=1696920379&ssig=j%2BStWRS4Ap",上海 长宁区,Mon Aug 14 13:02:41  2023,每一张照片都是一个故事👏👏
可爱的我DF,"https://tvax1.sinaimg.cn/crop.0.0.540.540.50/006juOvUly8hb6to73nlmj30f00f0wf9.jpg?KID=imgbed,tva&Expires=1696920379&ssig=NKsi1GEVlD",广东 深圳,Fri Aug 18 06:07:23  2023,给我中一次吧[心][心]
初柚love_blackis,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006VHWnzly8hhhzawgj1bj30u00u077c.jpg?KID=imgbed,tva&Expires=1696920379&ssig=WrZ1As8UX%2F",江苏,Thu Aug 17 12:06:32  2023,优时颜[送花花]
黑暗中那抹阳光,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/3d36c7b7ly8hdhvkt5sb5j20u00u0dix.jpg?KID=imgbed,tva&Expires=1696920379&ssig=P02nsqyADi",安徽 合肥,Thu Aug 17 08:23:47  2023,[送花花][送花花][送花花]
小朋友vigle,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006cl6GQly8hh3cbbog86j30u00u0dih.jpg?KID=imgbed,tva&Expires=1696920379&ssig=Mu4Hde8oKC",江西 景德镇,Tue Aug 15 16:04:19  2023,时刻保持微笑[打call]
辣么妹xyQ,"https://tvax3.sinaimg.cn/crop.0.0.1064.1064.50/008yuOykly8he88ykn2jpj30tk0tktay.jpg?KID=imgbed,tva&Expires=1696920379&ssig=H9Wd%2B3PWw8",北京,Tue Aug 15 12:56:37  2023,希望我们随时保持微笑
一个合心意,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/5f5c88b3ly8hacgg5skzrj20e80e8q2z.jpg?KID=imgbed,tva&Expires=1696920379&ssig=wLVf%2BbvYH6",四川 成都,Tue Aug 15 11:19:01  2023,[哇][哇][哇]
屁屁妈咪哈,"https://tvax3.sinaimg.cn/crop.0.0.750.750.50/006tWybaly8gguz11m4axj30ku0kugn4.jpg?KID=imgbed,tva&Expires=1696920379&ssig=KL5SzXtnpS",上海,Mon Aug 14 20:15:32  2023,揪一下[以闪亮之名]
Benz是个好孩子,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/ee3bbe2aly8h1m0lykn7rj20u00u0mzq.jpg?KID=imgbed,tva&Expires=1696920379&ssig=paxjhyb4tW",香港 其他,Mon Aug 14 17:22:19  2023,？？？第三代了吗？？第二代出的时候我在担心第一代还没用完，现在又开始新一轮焦虑了。。。
yamaQIQI,"https://tva1.sinaimg.cn/crop.0.0.480.480.50/4563d286jw8etd9g3375ij20dc0dcwf3.jpg?KID=imgbed,tva&Expires=1696920379&ssig=VLD%2FHZfJIT",辽宁,Mon Aug 14 16:51:41  2023,我来试试看
乐笙爱吃葡萄,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/007KiG7Fly8gt9vrx8aujj30ro0roq6t.jpg?KID=imgbed,tva&Expires=1696920379&ssig=oB9Q8TjHbJ",河南 郑州,Mon Aug 14 16:10:46  2023,都说优时颜微笑眼霜很好用 但是真的有点贵啊
Source怡,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006jCaAQly8h4klyblk78j30u00u0jtm.jpg?KID=imgbed,tva&Expires=1696920379&ssig=EhZBMgfER6",湖北 黄石,Mon Aug 14 16:04:36  2023,我我我我我我我我[泪]
王子柠墨,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/006eXjpKly8h4a5pr9l73j30e80e8aaj.jpg?KID=imgbed,tva&Expires=1696920379&ssig=HhNxJd%2FILU",河南,Mon Aug 14 15:12:55  2023,我来了
花开彼岸唯安夏,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/005Iv90xly8hc6pzknmsyj30u00u0whu.jpg?KID=imgbed,tva&Expires=1696920379&ssig=TXHX3XqF0p",山西,Mon Aug 14 15:03:17  2023,哇塞！！！超喜欢[哇]
NNiong,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/0067hcYoly8hi7tqstog1j30u00u0404.jpg?KID=imgbed,tva&Expires=1696920379&ssig=1R8kE8zOdA",香港 其他,Mon Aug 14 14:49:11  2023,是我 必须是我！！
An人生没有如果,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/e88d6effly8gj70yyls9rj20ro0rowg4.jpg?KID=imgbed,tva&Expires=1696920379&ssig=WWU5MJrp41",北京 朝阳区,Mon Aug 14 14:25:21  2023,佳琦哥多会上HBN晚霜
Rich兔子丶,"https://tvax4.sinaimg.cn/crop.0.0.960.960.50/4c2a700aly8h5jgis8cozj20qo0qodi4.jpg?KID=imgbed,tva&Expires=1696920379&ssig=4rx5RkjdXi",其他,Mon Aug 21 00:16:08  2023,转发微博
张小捣蛋,"https://tva4.sinaimg.cn/crop.26.727.2021.2021.50/a2badd6bjw8eyxgxemobej21kw2t3qv5.jpg?KID=imgbed,tva&Expires=1696920379&ssig=c1eUG7CQ8O",山西 太原,Mon Aug 21 00:00:30  2023,眼霜
五条悟白发猫猫,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/0074HIdnly8h5e5kby4uaj30u00u0gmt.jpg?KID=imgbed,tva&Expires=1696920380&ssig=oAYH83zJmk",其他,Sun Aug 20 23:46:17  2023,[打call]哇哦[打call]
