screen_name,profile_image_url,location,created_time,text
一直是二二,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/0060VGy2ly8hanmxovy67j30u00u0aei.jpg?KID=imgbed,tva&Expires=1696920701&ssig=OCbiatrt1D",海外,Fri Aug 18 16:20:51  2023,40岁的李佳琦跳惊鸿舞[笑cry]
半岛樱萝,"https://tvax4.sinaimg.cn/crop.0.0.995.995.50/008k6M1Ely8h3g1ti9h9jj30rn0rnwfm.jpg?KID=imgbed,tva&Expires=1696920701&ssig=iyzdPP7bpp",其他,Fri Aug 18 16:22:40  2023,v我50我去帮你空瓶李佳琦18岁[来]
蔻蔻的大裤裆,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/0085FBZply8hf8kp0xr7gj30u00u1dia.jpg?KID=imgbed,tva&Expires=1696920701&ssig=wuTS3rtmHf",海外,Fri Aug 18 16:20:44  2023,啊哈哈哈这下真变成老李头了
赤炎洪涛,"https://tvax2.sinaimg.cn/crop.0.0.544.544.50/0074k3jPly8h0k3dtr6l1j30f40f4767.jpg?KID=imgbed,tva&Expires=1696920701&ssig=EJfvH76d%2Bh",其他,Fri Aug 18 16:20:58  2023,35了吧
Gracego·,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/98106a43ly8hchtybkkb0j20u00u0jt4.jpg?KID=imgbed,tva&Expires=1696920701&ssig=7mXw5%2F%2FgD8",海外,Fri Aug 18 16:21:03  2023,难道李佳琦没有40吗？？？
我也是第一次来这个世界啊,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/cdbcf252ly8gatsyaiwucj20e80e8wkc.jpg?KID=imgbed,tva&Expires=1696920701&ssig=PKOshMJxpQ",其他,Fri Aug 18 16:20:40  2023,所以有四十岁吗？
无敌,"https://tvax2.sinaimg.cn/crop.16.9.148.148.50/006gN5knly8h8vopi1se2j30500500sk.jpg?KID=imgbed,tva&Expires=1696920701&ssig=EUwcUixYLX",北京,Fri Aug 18 16:20:36  2023,我第一个笑
sweet蓝天白云,"https://tva3.sinaimg.cn/crop.0.0.180.180.50/85f17e5ajw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1696920701&ssig=xryjj1vdYf",上海 徐汇区,Fri Aug 18 16:45:39  2023,不对，咋佳琦哥才18 http://t.cn/A60FRc9t
在下仙贝,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/006I33t7ly8hbj6zdl88ij30u00u0439.jpg?KID=imgbed,tva&Expires=1696920701&ssig=4Cw2HSQhbN",福建,Fri Aug 18 16:21:43  2023,我爆笑 我狂笑哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
坑王妃,"https://tvax2.sinaimg.cn/crop.0.0.664.664.50/005JGA89ly8h4b9909rmdj30ig0ig752.jpg?KID=imgbed,tva&Expires=1696920701&ssig=p0kWGQFGSy",广东,Fri Aug 18 16:21:57  2023,哈哈哈哈+7对不起 http://t.cn/A60FQ3lO
LaaLynn,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/006cirV3ly8hfhhy5whzcj30e80e8dh7.jpg?KID=imgbed,tva&Expires=1696920701&ssig=lLtSJxTlMf",广东 江门,Fri Aug 18 16:23:10  2023,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
太阳公主小六,"https://tvax3.sinaimg.cn/crop.0.0.684.684.50/69915951ly8hhfvzbjbx9j20j00j0weo.jpg?KID=imgbed,tva&Expires=1696920701&ssig=AfGXzmf19k",辽宁 朝阳,Fri Aug 18 16:21:40  2023,哈哈哈哈哈 笑死我啦 佳琦跳个舞告诉他你很灵活啊很年轻 不跳舞都没法证明你年轻啦[哈哈][笑哈哈]
蜜丝-Tian,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/4bf3d935ly8hfcvurv4vlj20e80e8t9c.jpg?KID=imgbed,tva&Expires=1696920701&ssig=IlRzv4IYHd",四川 成都,Fri Aug 18 16:22:37  2023,哈哈哈哈哈.今天看见这个了.但是哪有40岁的童鞋.别人正值青春年华[哈哈] http://t.cn/A60FQru9
气气的小永远,"https://tvax4.sinaimg.cn/crop.0.0.1024.1024.50/997775a0ly8hiphcixaz5j20sg0sg79c.jpg?KID=imgbed,tva&Expires=1696920701&ssig=zA5h6rLFz7",其他,Fri Aug 18 16:31:11  2023,40岁的稳重，18岁的脸[挖鼻]
楠以玉料,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/005IUf5Vly8hg3qbma7gnj30e80e8gm7.jpg?KID=imgbed,tva&Expires=1696920701&ssig=Zclv6GJfes",云南,Fri Aug 18 21:43:08  2023,48岁离婚带两孩破案了[doge]
