screen_name,profile_image_url,location,created_time,text
係我o,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/b036cdd2ly8gxjotfxsemj20e80e8mxm.jpg?KID=imgbed,tva&Expires=1696921511&ssig=kSZsVtlavA",其他,Tue Sep 19 19:55:57  2023,他怎么还在播啊
射雕少女,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/7416a0b3ly8gxsbisisd2j20u00u0acu.jpg?KID=imgbed,tva&Expires=1696921511&ssig=5zeTctSQ%2Bh",海外,Tue Sep 19 19:55:29  2023,你还敢直播？
Evangeline吉祥,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/672bc86cly8h9nhcb7yt1j20u00u0ju3.jpg?KID=imgbed,tva&Expires=1696921511&ssig=o7K32U0tNw",海外,Tue Sep 19 20:34:50  2023,评论区恶言的是太闲了吗
邹氏芳-,"https://tvax3.sinaimg.cn/crop.0.0.664.664.50/005HPjbPly8g7cu9sa3m9j30ig0ihq3g.jpg?KID=imgbed,tva&Expires=1696921511&ssig=wjod14jVYi",江西 南昌,Tue Sep 19 21:00:36  2023,太恐怖了吧 这些评论
晴天观雨戏,"https://tvax3.sinaimg.cn/crop.0.0.751.751.50/006PenELly8gb882u3njxj30kv0kv0tq.jpg?KID=imgbed,tva&Expires=1696921511&ssig=VTnBVpuYyA",浙江,Tue Sep 19 22:08:55  2023,[送花花]马上搬新家了，家装节什么时候来呀[送花花][送花花]
德善哈,"https://tvax1.sinaimg.cn/crop.0.0.822.822.50/006kPQxAly8h6a1euiqj4j30mu0mut8x.jpg?KID=imgbed,tva&Expires=1696921511&ssig=6lW0UuGP6Q",其他,Tue Sep 19 20:28:23  2023,喷子你继续 [嘻嘻][嘻嘻][嘻嘻]不耽误我看直播[doge]
要去那高处看一看Gin,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/751fcb33ly8hgxqncdpdrj20u00u041q.jpg?KID=imgbed,tva&Expires=1696921511&ssig=SB3GYBwg2H",海外,Tue Sep 19 19:58:08  2023,来啦！期待明天零食节[色][色]
汤芭拉,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/0075WSZnly8hfjok354cpj30e80e8gmo.jpg?KID=imgbed,tva&Expires=1696921511&ssig=%2BDa1TyJr9I",其他,Tue Sep 19 20:11:45  2023,支持李佳琦
奋斗猪-,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/71dce4d8ly8h4um3nbiv6j20e80e8mxn.jpg?KID=imgbed,tva&Expires=1696921511&ssig=mnMb0ERsDo",广东 深圳,Tue Sep 19 20:02:26  2023,如果有更好的商品更实惠的价格我再继续看看
·阳光耀眼,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/be9d0e77ly8h7yr1mt9cej20e80e874k.jpg?KID=imgbed,tva&Expires=1696921511&ssig=T90Ij6IwM7",陕西,Tue Sep 19 20:34:44  2023,[心][心][心][心][心]
Blingfar,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/003zC9E8ly8gtge5wtot1j60e80e8mxw02.jpg?KID=imgbed,tva&Expires=1696921511&ssig=sfUX1rbWJ2",海外 美国,Tue Sep 19 20:34:12  2023,佳琦，加油[心][心][心][心]
2023顺势而为努力改变,"https://tvax4.sinaimg.cn/crop.0.0.864.864.50/5106dbb5ly8h40uvi3zfoj20o00o0q49.jpg?KID=imgbed,tva&Expires=1696921511&ssig=QNG7%2B3irK5",北京 东城区,Tue Sep 19 19:56:04  2023,来喽！！！
你又丧又嘴贱又晦气活该穷,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006VQUL9ly8hhgf4i5iavj30u00u0n0a.jpg?KID=imgbed,tva&Expires=1696921511&ssig=rKYrDfsE%2F0",海外 加拿大,Tue Sep 19 20:05:37  2023,来了来了[哇][哇]
闪闪发光的米Bling,"https://tvax1.sinaimg.cn/crop.0.0.1024.1024.50/007WjxXEly8hgfzi97u37j30sg0sgn2m.jpg?KID=imgbed,tva&Expires=1696921511&ssig=JBxfM37txI",其他,Tue Sep 19 20:18:26  2023,来啦[毛球][毛球][毛球]
_看电影不要说话,"https://tvax2.sinaimg.cn/crop.0.0.844.844.50/db73d854ly8hgu3bbotkij20ng0ngjsk.jpg?KID=imgbed,tva&Expires=1696921511&ssig=K1zwMVX7sF",湖北 武汉,Tue Sep 19 19:55:44  2023,加油！
