screen_name,profile_image_url,location,created_time,text
韩束KANS,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/76cf57e8ly8hfknrh0hu2j20u00u0wf5.jpg?KID=imgbed,tva&Expires=1696921591&ssig=MUXqMl2krG",上海,Sun Oct 08 18:40:53  2023,"今年给所有女生们的offer包含了我们满满的感谢和诚意，在所有女生监督下我们一直在努力前行[打call]～作为对大家的回馈，小束在本条的评论转发中抽取3套蓝铜肽礼盒，3套红蛮腰系列和3套白蛮腰系列！承包九位所有女生的秋冬护肤！[心]#韩束,为年轻提供一份底气# "
韩束KANS,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/76cf57e8ly8hfknrh0hu2j20u00u0wf5.jpg?KID=imgbed,tva&Expires=1696921591&ssig=MUXqMl2krG",上海,Sun Oct 08 16:05:05  2023,"啊啊啊啊[打call]小束前排来啦！！看看今年小束给所有女生交的“作业”[心]，听说我们团队又多了一个“间谍”？[嘘] 转发评论告诉小束你双十一心动的韩束产品，小束可能会满足你的愿望哦～#韩束,为年轻提供一份底气#"
紫曦1206,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/005ZvT2ply8h83zbtnnwoj30u00u0wh6.jpg?KID=imgbed,tva&Expires=1696921591&ssig=qv3HEKjmlx",浙江 杭州,Sun Oct 08 16:01:38  2023,先占个位  心疼ERIC[喵喵]
自然堂,"https://tvax4.sinaimg.cn/crop.0.0.1056.1056.50/6f12ad58ly8gxx9me31foj20tc0tct97.jpg?KID=imgbed,tva&Expires=1696921591&ssig=mDS84FPEKX",上海 徐汇区,Sun Oct 08 16:49:14  2023,“奥佛山”自然堂的福利大家满意吗[酷]郑董果然人狠话不多，“年度最佳大饼”堂主先抢为敬，拼手速的时候到[哇]转发本条评论，说说郑董带来的三大“饼”都是什么？10月16日抽10位正答的粉丝送喜默因系列星品中小样礼包一份，含自然堂极地圣水30ml、自然堂小紫瓶精华第五代10ml、小紫瓶面霜18.5g各1
Kiki头不圆,"https://tvax2.sinaimg.cn/crop.0.0.1024.1024.50/698ea0d7ly8hgnf90jyvmj20sg0sgdid.jpg?KID=imgbed,tva&Expires=1696921591&ssig=4lz3v2SBvA",浙江 台州,Sun Oct 08 16:43:13  2023,看韩束把我整哭了[泪]
UNISKIN优时颜,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/006ZuP7Qly8g04xibyrcej30e80e8q2x.jpg?KID=imgbed,tva&Expires=1696921591&ssig=3rgTk78%2B%2F4",上海,Sun Oct 08 19:11:45  2023,大家都看了吗？转评这条微博，说说你最期待的优时颜offer是哪个[打call]10.17再抽选10位幸运儿送出优时颜平衡洁面乳正装1支~#所有女生的offer#
海盐有点咸-Lucky,"https://tvax4.sinaimg.cn/crop.0.0.1020.1020.50/0088F6VHly8hhnvgu2jvxj30sd0scdj4.jpg?KID=imgbed,tva&Expires=1696921591&ssig=HkgDYc8DXo",其他,Sun Oct 08 16:00:30  2023,这更新速度太赞了[打call]上集看完了，佳琦不愧是智慧担当！老板们各有性格，都太可爱了[抱一抱]，看Offer的同时还能看到美丽的风景(有粉色的城堡耶），期待明天中午继续加更！！
倒霉熊and流氓兔,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/951f4a79ly8hd7qin3p51j20u00u077p.jpg?KID=imgbed,tva&Expires=1696921591&ssig=km9XnWgp99",其他,Sun Oct 08 16:04:12  2023,真的超好看！！！[打call][打call][打call]@李佳琦Austin http://t.cn/A6Wv4yGA
张八花的星宝,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/0085VDrXly8hgx328zcz4j30u00u0dhm.jpg?KID=imgbed,tva&Expires=1696921591&ssig=5E2U8BReF%2B",浙江 杭州,Sun Oct 08 16:03:10  2023,来了来了，来看eric[允悲]
干啥子看我,"https://tva3.sinaimg.cn/crop.0.0.720.720.50/005Jq650jw8ets3yglgnkj30k00k0t94.jpg?KID=imgbed,tva&Expires=1696921591&ssig=lO1Xu7pMqS",河北 石家庄,Sun Oct 08 16:02:35  2023,心疼ERIC
蜜丝-Tian,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/4bf3d935ly8hfcvurv4vlj20e80e8t9c.jpg?KID=imgbed,tva&Expires=1696921591&ssig=yM3OBWHZWG",四川 成都,Sun Oct 08 16:00:07  2023,芜湖～下集来了！继续接着看！[打call][打call]话说上集笑得我肚子疼[哈哈][吹风车][吹风车]
闪闪发光的米Bling,"https://tvax1.sinaimg.cn/crop.0.0.1024.1024.50/007WjxXEly8hgfzi97u37j30sg0sgn2m.jpg?KID=imgbed,tva&Expires=1696921591&ssig=%2BNAPF9H8Mp",其他,Sun Oct 08 16:05:58  2023,岛上可真的是“背水一战”了，这综艺太棒，不拖更，一整个大满足！[好柿仔]
小王马甲线吃没了,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/007kEMxfly8h45hrr54f4j30u00u043r.jpg?KID=imgbed,tva&Expires=1696921591&ssig=ZJ7YsMZFOm",四川,Sun Oct 08 16:03:57  2023,李老头你这更新速度我是满意的[doge]
Mua一口奈奈子,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/6d18e6dely8h7za6yg12bj20u00u041y.jpg?KID=imgbed,tva&Expires=1696921591&ssig=HI9JCtXrPf",其他,Sun Oct 08 16:20:33  2023,这个更新速度我太爱了[打call]上集我笑个不停，下集精彩继续[笑cry][笑cry][笑cry]
Sha_特仑苏-棉花精,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/007WKF7Tly8hg5k8xq1r3j30e80e80tu.jpg?KID=imgbed,tva&Expires=1696921591&ssig=kur9mC8gK7",福建,Sun Oct 08 16:38:51  2023,优时颜眼霜赠品能不能多点眼霜
慕慕Livia,"https://tvax2.sinaimg.cn/crop.0.0.750.750.50/a0a207f8ly8gj5ofaf1taj20ku0ku0ti.jpg?KID=imgbed,tva&Expires=1696921591&ssig=8ZIFs1U9ge",其他,Sun Oct 08 16:07:19  2023,我今天是住在b站给俊朗加弹幕了[打call]
bigvvdd,"https://tvax1.sinaimg.cn/crop.0.0.720.720.50/006qjGIOly8h6as4qiwdxj30k00k0mxe.jpg?KID=imgbed,tva&Expires=1696921591&ssig=F0ARumIO5i",其他,Sun Oct 08 16:05:09  2023,来了来了，能不能一下更新完啊！！！
sweet蓝天白云,"https://tva3.sinaimg.cn/crop.0.0.180.180.50/85f17e5ajw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1696921591&ssig=SK8uXIjeKA",上海 徐汇区,Sun Oct 08 16:01:50  2023,继续追剧[哈哈]
YU_02_,"https://tvax1.sinaimg.cn/crop.0.0.663.663.50/007e05Fkly8hi8xjm695ej30if0ifaar.jpg?KID=imgbed,tva&Expires=1696921591&ssig=RDW0ws%2BC1L",海外 比利时,Sun Oct 08 16:13:47  2023,来啦来啦[送花花]特别特别喜欢毕总和希思黎姐姐[送花花]还有eric[送花花]以后可以每一年都请他们吗[送花花]
花语琦思nl,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006I7WLSly8hijwhmiz58j30u00u00un.jpg?KID=imgbed,tva&Expires=1696921591&ssig=h72BqXoywM",北京,Sun Oct 08 16:36:40  2023,下集如期而至，速度太给力啦[送花花]
迷恋演唱会的LL拜托2023顺利圆满,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/005WtBrqly8hi3403zmrvj30e80e8weu.jpg?KID=imgbed,tva&Expires=1696921592&ssig=6vG4OuAF0d",北京 东城区,Sun Oct 08 16:04:53  2023,佳琦真的超级棒[彩虹屁][彩虹屁][彩虹屁]第一集看的好开心～开始期待双11啦[心][心][心]
