screen_name,profile_image_url,location,created_time,text
FlowerKnows花知晓,"https://tvax4.sinaimg.cn/crop.0.0.1000.1000.50/006B3lyXly8hgxfvnk0b7j30rs0rstbo.jpg?KID=imgbed,tva&Expires=1696921634&ssig=7ADW6bx%2Fp5",浙江 杭州,Mon Oct 09 13:21:08  2023,Offer萌新花知晓来啦[打call]！！第一次上节目尊嘟很紧张！！！希望所有女生能感受到我们双十一的诚意！10月也是花知晓生日月🎂，今年是我们守护所有女生的少女心的第7年啦！！10月23日在品牌官方账号评论区揪7个小伙伴赠送天鹅芭蕾系列【固体唇釉*1+绒雾腮红*1+八音盒蜜粉*1+手拿镜*1】套组哟~
欧诗漫美如珍珠,"https://tvax1.sinaimg.cn/crop.0.0.1002.1002.50/772b69f1ly8gsdzzg9rj1j20ru0rugmj.jpg?KID=imgbed,tva&Expires=1696921634&ssig=mTxxoBTW8W",浙江 杭州,Mon Oct 09 13:01:53  2023,时隔一年又和大家见面啦！欧诗漫56年里一直坚持用匠心慢慢打磨产品，致力打造更适合国人肌肤的产品！这一次，小诗和珍珠爷爷带着满满诚意而来～转发这条评论，告诉小诗你双十一心动的欧诗漫产品。小诗会在10月25日抽取6套安心小白管正装和6个可可爱爱珍白因周边[心]！#珍珠爷爷陪欧诗漫56年慢慢来#
__不吃香菜a,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/0083P1SSly8hi6hppyyp4j30u00u0gnh.jpg?KID=imgbed,tva&Expires=1696921634&ssig=gSEqPngt%2BI",天津,Mon Oct 09 13:00:13  2023,欧诗漫都给我买！！！！诚意满满！！！满到我都怀疑人生了！！！欧诗漫爷爷太帅太可爱啦[抱一抱][抱一抱][抱一抱]
Amelia粟米姑姑,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/007595W4ly8h35nbmivonj30e80e80te.jpg?KID=imgbed,tva&Expires=1696921634&ssig=%2Bqp%2Bgjs2Sn",上海,Mon Oct 09 13:14:08  2023,佰草集我必须蹲一波[舔屏]
蠟筆尐尐星,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/72e970dbjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1696921634&ssig=8Eg9ool3ly",四川 成都,Mon Oct 09 12:51:29  2023,佰草集面霜必须冲
阿鱼不会游泳,"https://tvax2.sinaimg.cn/crop.0.0.255.255.50/005NzDyjly8h4ekb50kdoj3073073weg.jpg?KID=imgbed,tva&Expires=1696921634&ssig=yo%2FM9zkShw",湖北,Mon Oct 09 12:06:40  2023,希望薇诺娜今年给力点
文文文文文希呀,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/006qf3HZly8fplnpn0g8dj30ro0rowfc.jpg?KID=imgbed,tva&Expires=1696921634&ssig=zM%2F%2FOXQijY",河北 石家庄,Mon Oct 09 13:01:45  2023,每次看国货都觉得好心酸啊，好可怜
紫曦1206,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/005ZvT2ply8h83zbtnnwoj30u00u0wh6.jpg?KID=imgbed,tva&Expires=1696921634&ssig=aGVwYERYcb",浙江 杭州,Mon Oct 09 12:53:50  2023,欧诗漫我必买  欧诗漫爷爷和小哥太好了[苦涩]
海盐有点咸-Lucky,"https://tvax4.sinaimg.cn/crop.0.0.1020.1020.50/0088F6VHly8hhnvgu2jvxj30sd0scdj4.jpg?KID=imgbed,tva&Expires=1696921634&ssig=P%2FZs2YkerV",其他,Mon Oct 09 12:00:25  2023,昨天看的意犹未尽，一直在等更新[送花花]佳琦和老板们之间的“较量”可太有意思了，我们大家的佳琦真棒！！听完今年的Offer后，都想买[允悲] http://t.cn/A6WvFNtw
此生清白不换,"https://tvax1.sinaimg.cn/crop.0.0.960.960.50/65ca9947ly8h1w3izj9pej20qo0qomz2.jpg?KID=imgbed,tva&Expires=1696921634&ssig=gwT5j0qGV%2F",辽宁 沈阳,Mon Oct 09 13:19:45  2023,欧诗漫珍珠爷爷好慈祥啊，offer谈的也给力[打call][打call][打call]
