screen_name,profile_image_url,location,created_time,text
李钟硕来了快跑,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006Q7Fijly8hhs17v0nc0j30u00u0jue.jpg?KID=imgbed,tva&Expires=1696921402&ssig=H1Alg3g9h6",河南,Mon Sep 11 01:40:19  2023,你挣着普通人的钱 到头来嘲讽普通人贫穷[黑线]
_恕吾惘闻,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/71ecc829ly8g8n6rmbijzj20u00u0guy.jpg?KID=imgbed,tva&Expires=1696921402&ssig=wJbnL8tucu",四川 成都,Mon Sep 11 01:43:46  2023,首先，要不找个心理咨询师吧，感觉你情绪需要调节。其次，现在经济大环境真的不太好，你偶尔也需要出去走走看看这个世界本来的样子，而不是只坐在镜头前面收割着数不尽的钱。最后，如果确实挣够钱不想干了就干净利落的退居幕后。
齐克苏猎魔人,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/006XaYYfly8gtplefqmb2j30ro0roab8.jpg?KID=imgbed,tva&Expires=1696921402&ssig=U7MIyx6xIQ",其他,Mon Sep 11 01:41:40  2023,打多少字也挡不住你直播时内心真正的傲慢
是小耶欸,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006dnyfBly8h8fu05pyb5j30u00u041x.jpg?KID=imgbed,tva&Expires=1696921402&ssig=zSwUlwVVAp",其他,Mon Sep 11 01:39:46  2023,你得承认你变了
迷啵酱酱,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/008uCcqAly8h7p6lebmqhj30u00u0q3s.jpg?KID=imgbed,tva&Expires=1696921402&ssig=owHdnOh7QP",陕西 西安,Mon Sep 11 01:41:30  2023,哦哦哦，反正你难他也难，国货品牌都很难的～ 就我们打工人活得轻松过的舒坦[举车][举车][举车] http://t.cn/A6O6nlOw
isske,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/005JW8eXly8hiinpoc3eaj30u00u0wgc.jpg?KID=imgbed,tva&Expires=1696921402&ssig=o6v6sixVAO",天津,Mon Sep 11 02:03:59  2023,双十一要到了 必须得出来道个虚假的歉 因为我还得赚你们这些穷鬼的钱～ http://t.cn/A6O6mWvW
爱所有碳酸饮料,"https://tvax2.sinaimg.cn/crop.0.0.1002.1002.50/7b6f9a9dly8g3xczw9uavj20ru0rujsn.jpg?KID=imgbed,tva&Expires=1696921402&ssig=eRLG7%2FqCVB",河北 张家口,Mon Sep 11 05:04:30  2023,以前：猪猪女孩们 现在：不努力的打工人们
超级有钱哦-,"https://tvax2.sinaimg.cn/crop.0.0.1024.1024.50/79bf15d1ly8henol36vd3j20sg0sgq5v.jpg?KID=imgbed,tva&Expires=1696921402&ssig=3eKlqe68pC",陕西 西安,Mon Sep 11 02:01:05  2023,那位女生？你可别混淆概念了，你攻击的是所有打工人
扑满可爱多,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/008tkMYNly8heh5akrkxmj30u00u0q9e.jpg?KID=imgbed,tva&Expires=1696921402&ssig=Z2CW%2FggtAR",其他,Mon Sep 11 04:48:21  2023,别用所有女生开头了，支持你做自己，以后改成：所有穷鬼[赞]
奶茶meow_,"https://tvax4.sinaimg.cn/crop.0.0.472.472.50/6e444c80ly8hhlf4zu6jrj20d40d4q2z.jpg?KID=imgbed,tva&Expires=1696921402&ssig=iXAFP6JlKm",湖南 长沙,Mon Sep 11 01:54:50  2023,这么多年没把花西子的价格打下来，你怎么不反思一下你工作是不是不努力啊[doge]
庆-池,"https://tvax1.sinaimg.cn/crop.0.0.1242.1242.50/a7d2b7aely8fwt2no1098j20yi0yijv0.jpg?KID=imgbed,tva&Expires=1696921402&ssig=FEa7ckUEV5",安徽 合肥,Mon Sep 11 02:15:50  2023,你骂的可不是那个女孩子，你骂的是所有即使拼尽全力起早贪黑依然挣扎在温饱线上的普通人，没人想听你那些屁话，带着你的优越感滚蛋吧
我不愿意栽树,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006Pypd0ly8higaqrmxrbj30u00u0tbk.jpg?KID=imgbed,tva&Expires=1696921402&ssig=MysZXylKUW",北京,Mon Sep 11 01:45:51  2023,你是在向钱道歉，不是在向我们道歉[裂开]
是王烦烦啊,"https://tvax1.sinaimg.cn/crop.0.0.690.690.50/006lcObdly8higvl7uq91j30j60j6q48.jpg?KID=imgbed,tva&Expires=1696921402&ssig=xgLF0j89N3",山东,Mon Sep 11 02:06:31  2023,你以前讨厌别的柜姐对顾客摆脸色，你终究也变成了你讨厌的人
曼联黄金92,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/005IAB2qly8gqbaaz8ncvj30u00u076e.jpg?KID=imgbed,tva&Expires=1696921402&ssig=j0CQhzhwfe",其他,Mon Sep 11 07:16:31  2023,我看到一个网友的评论！你家当年拿不出你学费的时候！是因为你家人工作不努力吗？
