uid,id,screen_name,description,followers_count,friends_count,statuses_count,gender,province,city,location,description,star,svip,vvip,is_teenager,created_at
6336556296,5558814762,白杨ice,真正的大师，永远怀着一颗学徒的心！,372,62,88,m,44,3,广东 深圳,真正的大师，永远怀着一颗学徒的心！,0,0,0,0,Mon Mar 16 19:40:43 +0800 2015
6336556296,6887738393,小呀嘛小阿傻啊,,58,297,506,f,11,1000,北京,,0,0,0,0,Sun Dec 16 20:09:49 +0800 2018
6336556296,5700669807,雷慕莉Lemonly,改变世界！,1055,132,12,m,400,1000,海外,改变世界！,0,0,0,0,Wed Jan 11 18:36:54 +0800 2017
6336556296,7782626257,用户7782626257,,3,123,24,f,100,1000,其他,,0,0,0,0,Mon Aug 15 15:58:14 +0800 2022
6336556296,7740105904,用户7740105904,,0,4,0,m,100,1000,其他,,0,0,0,0,Fri Feb 04 19:06:39 +0800 2022
6336556296,7321066440,草莓泡芙卷666666,,3,118,18,f,100,1000,其他,,0,0,0,0,Thu Oct 17 13:51:54 +0800 2019
6336556296,7435112434,R_杏里,碰瓷你超爹最后的下场是你正主查无此人,99,267,1165,f,32,1000,江苏,碰瓷你超爹最后的下场是你正主查无此人,0,0,0,0,Fri Apr 10 10:42:04 +0800 2020
6336556296,7876674208,用户7876674208,,0,6,0,m,11,1000,北京,,0,0,0,0,Tue Oct 10 20:57:23 +0800 2023
6336556296,7793779016,JJa_a,林距离,1,165,16,f,100,1000,其他,林距离,0,0,0,0,Tue Oct 04 22:52:01 +0800 2022
6336556296,5780680205,栗_子423,     ,34,352,40,f,51,1000,四川,     ,0,0,0,0,Thu Dec 03 07:28:30 +0800 2015
6336556296,7744221209,虞汐雯,永远相信宋亚轩~,3,48,138,f,100,1000,其他,永远相信宋亚轩~,0,0,0,0,Sat Mar 05 17:39:10 +0800 2022
6336556296,7848252749,卡田田6162,,0,116,0,m,100,1000,其他,,0,0,0,0,Sun Jun 25 11:14:39 +0800 2023
6336556296,5736377898,带我修炼成仙卷土重来,身高168 65到60阶段努力 最终想瘦到96斤,2,68,88,f,100,1000,其他,身高168 65到60阶段努力 最终想瘦到96斤,0,0,0,0,Sat Oct 24 17:52:56 +0800 2015
6336556296,5750018060,易跃小兰,碎碎念～,1674,126,560,f,33,1,浙江 杭州,碎碎念～,0,0,0,0,Sat Nov 07 09:25:32 +0800 2015
6336556296,1788603757,娜儿a,风是自由的，我也是……,1003,377,204,f,31,4,上海 徐汇区,风是自由的，我也是……,0,0,0,0,Fri Aug 06 18:17:46 +0800 2010
6336556296,6186760162,灵感大王弹古琴,爱古琴，爱美食。,113,861,531,m,100,1000,其他,爱古琴，爱美食。,0,0,0,0,Fri Mar 24 13:00:29 +0800 2017
6336556296,7422473946,我真的好难过啊啊啊啊啊,专注于每一个过程,1,68,119,m,100,1000,其他,专注于每一个过程,0,0,0,0,Sat Mar 28 18:55:45 +0800 2020
6336556296,1558437231,KrisWong-89,站酷：http://www.zcool.com.cn/u/382111 lofter：http://kriswong701.lofter.com,220,165,304,f,31,15,上海 浦东新区,站酷：http://www.zcool.com.cn/u/382111 lofter：http://kriswong701.lofter.com,0,0,0,0,Wed Aug 11 15:56:03 +0800 2010
6336556296,7871676678,椿日五号,,0,51,24,f,11,1000,北京,,0,0,0,0,Mon Sep 18 18:37:30 +0800 2023
6336556296,7455902269,竹笋雕雕,蟑螂女王驾到！（播撒蟑螂）,10,170,70,f,100,1000,其他,蟑螂女王驾到！（播撒蟑螂）,0,0,0,0,Thu May 14 18:19:27 +0800 2020
6336556296,7422473946,我真的好难过啊啊啊啊啊,专注于每一个过程,1,68,119,m,100,1000,其他,专注于每一个过程,0,0,0,0,Sat Mar 28 18:55:45 +0800 2020
6336556296,1558437231,KrisWong-89,站酷：http://www.zcool.com.cn/u/382111 lofter：http://kriswong701.lofter.com,220,165,304,f,31,15,上海 浦东新区,站酷：http://www.zcool.com.cn/u/382111 lofter：http://kriswong701.lofter.com,0,0,0,0,Wed Aug 11 15:56:03 +0800 2010
6336556296,7871676678,椿日五号,,0,51,24,f,11,1000,北京,,0,0,0,0,Mon Sep 18 18:37:30 +0800 2023
6336556296,7455902269,竹笋雕雕,蟑螂女王驾到！（播撒蟑螂）,10,170,70,f,100,1000,其他,蟑螂女王驾到！（播撒蟑螂）,0,0,0,0,Thu May 14 18:19:27 +0800 2020
6336556296,3205811623,爱吃葡萄的屁屁猪,,117,270,1129,f,36,3,江西 萍乡,,0,0,0,0,Wed Dec 12 14:47:20 +0800 2012
6336556296,7291460208,用户7291460208,,0,116,3,m,100,1000,其他,,0,0,0,0,Sat Aug 24 21:46:26 +0800 2019
6336556296,3925313022,奇怪的呀哈哈,猫粮先生,64,968,87,m,36,5,江西 新余,猫粮先生,0,0,0,0,Sat Nov 30 23:13:32 +0800 2013
6336556296,7243233758,ggg_tan,,4,310,0,f,100,1000,其他,,0,0,0,0,Thu Jul 18 14:52:28 +0800 2019
6336556296,5526593622,月夜物语yc,,186,521,6678,f,100,1000,其他,,0,0,0,0,Wed Feb 18 21:56:20 +0800 2015
6336556296,5952934217,a丸子呀-,每天都要开心的生活!,21,322,464,f,100,1000,其他,每天都要开心的生活!,0,0,0,0,Sun Jun 12 17:07:29 +0800 2016
6336556296,6624335725,唑顾言拓,期待与凤行,19,388,330,m,100,1000,其他,期待与凤行,0,1,0,0,Mon Aug 06 21:14:42 +0800 2018
6336556296,6316721106,星星会比月亮更亮吗,不知从何说起,1,34,29,f,100,1000,其他,不知从何说起,0,0,0,0,Thu Aug 03 18:42:47 +0800 2017
6336556296,5313011092,杏仁露rr,,873,373,18,f,100,1000,其他,,0,0,0,0,Wed Oct 01 16:17:59 +0800 2014
6336556296,7350917369,金发小曲奇-,耶耶,7,59,96,m,100,1000,其他,耶耶,0,0,0,0,Sun Dec 08 19:39:52 +0800 2019
6336556296,7477782353,小张无聊亚,别嘴贱,77,168,200,f,42,1000,湖北,别嘴贱,0,0,0,0,Sun Jul 05 18:36:16 +0800 2020
6336556296,5837877208,乐悠甜甜圈i,上岸小锦鲤,79,978,1776,f,41,1000,河南,上岸小锦鲤,0,1,0,0,Sun Jan 24 13:25:44 +0800 2016
6336556296,6059488554,a脆皮五花肉1,,40,2,0,f,43,1,湖南 长沙,,0,0,0,0,Sun Nov 06 08:30:25 +0800 2016
6336556296,3957183214,大鳫专属小马甲,,60,343,2011,f,36,7,江西 赣州,,0,0,0,0,Fri Dec 27 21:08:07 +0800 2013
6336556296,6346137787,奋斗的日子子,,4,224,1,f,31,1000,上海,,0,0,0,0,Mon Aug 21 23:37:56 +0800 2017
6336556296,7293936942,芒果味鱼丸丸,穷且益坚，不坠青云之志,1,137,32,m,100,1000,其他,穷且益坚，不坠青云之志,0,0,0,0,Wed Aug 28 12:52:35 +0800 2019
6336556296,5352392584,没名没姓没身份,当过兵，就是傻！穿军装时保卫国家，脱下军装硬要捍卫正义，共产党员应该是这样！,65,168,100,m,21,1000,辽宁,当过兵，就是傻！穿军装时保卫国家，脱下军装硬要捍卫正义，共产党员应该是这样！,0,0,0,0,Sun Nov 02 08:53:46 +0800 2014
6336556296,7858912721,暴躁芝士卷_,不知名等待上岸小卷 越努力越幸运,2,14,46,f,43,2,湖南 株洲,不知名等待上岸小卷 越努力越幸运,0,0,0,0,Mon Jul 31 22:51:59 +0800 2023
6336556296,7757354499,卐岁岁平安,,0,6,1,f,100,1000,其他,,0,0,0,0,Sun May 01 18:31:01 +0800 2022
6336556296,7871743568,用户7871743568,,0,53,4,f,100,1000,其他,,0,0,0,0,Wed Sep 20 07:04:36 +0800 2023
6336556296,7836698383,吾名野原广志,,0,5,3,m,45,3,广西 桂林,,0,0,0,0,Thu May 04 13:51:11 +0800 2023
6336556296,1083230151,粒粒栗l,越努力越幸运💙,199,388,4652,f,44,1000,广东,越努力越幸运💙,0,1,0,0,Fri Feb 28 20:57:56 +0800 2014
6336556296,5894675257,KUDVGESGKNBD,我可真是个小机灵鬼✌✌,35,395,768,f,37,1,山东 济南,我可真是个小机灵鬼✌✌,0,1,0,0,Fri Apr 08 19:30:17 +0800 2016
6336556296,7875603353,诺诺诺lll,,0,25,18,m,32,1,江苏 南京,,0,0,0,0,Thu Oct 05 13:04:43 +0800 2023
6336556296,6397802884,灯下有猫77,努力一点点，不会比现在更差了,76,87,968,f,62,1000,甘肃,努力一点点，不会比现在更差了,0,0,0,0,Sat Nov 11 21:26:17 +0800 2017
6336556296,6974850159,想喝抹茶鑫冰乐,刘耀文,2,148,44,f,41,1000,河南,刘耀文,0,0,0,0,Sun Jan 27 10:23:11 +0800 2019
6336556296,5355102534,深圳市龙岗区杰诚罗纹纺织厂,迷恋卡布奇诺的香 也忘不了双皮奶的滑,35,156,0,f,44,6,广东 佛山,迷恋卡布奇诺的香 也忘不了双皮奶的滑,0,0,0,0,Mon Nov 03 16:43:20 +0800 2014
6336556296,6068752790,sml碎嘴子号,我会发财,0,27,446,m,100,1000,其他,我会发财,0,0,0,0,Mon Nov 14 11:52:03 +0800 2016
6336556296,7429069952,夹心小呆呆,吃🍉路人 随时发疯,1,1477,241,f,100,1000,其他,吃🍉路人 随时发疯,0,0,0,0,Fri Apr 03 14:22:36 +0800 2020
6336556296,5092380962,是一个晴_低价寄快递看主页,算是半个有趣的人,59,129,51,f,43,7,湖南 常德,算是半个有趣的人,0,0,0,0,Mon Apr 07 13:12:06 +0800 2014
6336556296,7298725411,_我朝月亮吹口哨_,再也不会轻易的注销微博账号了，我要在这个账号里抽奖，记录减肥，记录心情。（微信：哼哼）,2,198,2000,f,100,1000,其他,再也不会轻易的注销微博账号了，我要在这个账号里抽奖，记录减肥，记录心情。（微信：哼哼）,0,0,0,0,Tue Sep 03 19:07:04 +0800 2019
6336556296,6247579868,用户6247579868,,0,209,11,f,100,1000,其他,,0,0,0,0,Mon May 29 23:45:45 +0800 2017
6336556296,7403629881,铁锅炖大鹅9141,,0,153,2,f,34,1000,安徽,,0,0,0,0,Mon Mar 02 11:11:29 +0800 2020
6336556296,3616416453,阳光下的麦穗_,彼方尚有荣光在,136,1448,2470,f,44,19,广东 东莞,彼方尚有荣光在,0,0,0,0,Tue Aug 06 20:22:57 +0800 2013
6336556296,5999222498,-春日小熊-,张极,76,326,1537,f,50,1000,重庆,张极,0,0,0,0,Fri Aug 12 12:58:27 +0800 2016
6336556296,6339917065,张张yxa,废话日常🥴🥰🤨,12,491,747,f,100,1000,其他,废话日常🥴🥰🤨,0,1,0,0,Mon Aug 07 14:37:39 +0800 2017
6336556296,5999222498,-春日小熊-,张极,76,326,1537,f,50,1000,重庆,张极,0,0,0,0,Fri Aug 12 12:58:27 +0800 2016
6336556296,6339917065,张张yxa,废话日常🥴🥰🤨,12,491,747,f,100,1000,其他,废话日常🥴🥰🤨,0,1,0,0,Mon Aug 07 14:37:39 +0800 2017
6336556296,7822083435,爱喝李子园-,,2,34,0,m,100,1000,其他,,0,0,0,0,Mon Feb 20 18:59:28 +0800 2023
6336556296,5243964465,用户7398961707,三个孩子的妈,34,936,1212,f,100,1000,其他,三个孩子的妈,0,0,0,0,Thu Aug 07 16:09:21 +0800 2014
6336556296,1707306297,西橙焦糖,微笑的面对一切。,323,173,786,f,37,7,山东 潍坊,微笑的面对一切。,0,0,0,0,Tue Mar 09 00:32:36 +0800 2010
6336556296,7602787482,用户7602787482,,0,57,1,m,13,3,河北 秦皇岛,,0,0,0,0,Sat May 01 08:43:59 +0800 2021
6336556296,6987073135,江羽轩轩,该来的总会来，我相信,69,870,130,f,100,1000,其他,该来的总会来，我相信,0,0,0,0,Wed Feb 06 09:27:19 +0800 2019
6336556296,7849544475,用户7849544475,,0,97,0,f,100,1000,其他,,0,0,0,0,Thu Jun 29 18:24:59 +0800 2023
6336556296,5188115734,爱薛的怪兽,太阳不是突然落山的，我想你也懂。,7,24,6,f,32,8,江苏 淮安,太阳不是突然落山的，我想你也懂。,0,0,0,0,Sat Jun 21 16:41:27 +0800 2014
6336556296,2626454925,一艘瘦不下来的小胖船,,288,506,76,f,13,1,河北 石家庄,,0,0,0,0,Sun Feb 12 19:57:59 +0800 2012
6336556296,1628762202,kevinkongwwwk,如果某天你不想她走的人走了，不要伤心。在某个中转站。肯定会有人来接你,39,122,108,m,44,6,广东 佛山,如果某天你不想她走的人走了，不要伤心。在某个中转站。肯定会有人来接你,0,0,0,0,Thu Aug 11 14:54:37 +0800 2011
6336556296,5534377212,八五年的可乐最好喝,李愁愁,131,285,702,f,37,1000,山东,李愁愁,0,0,0,0,Wed Feb 25 10:06:36 +0800 2015
6336556296,1321874374,落叶灯影,,136,2473,73,m,34,11,安徽 滁州,,0,0,0,0,Thu Jun 24 08:08:08 +0800 2010
6336556296,5714543929,嘉雾-Jiawu,发现，打造一个只有小朋友与艺术的小友世界,1198,481,275,f,32,1000,江苏,发现，打造一个只有小朋友与艺术的小友世界,0,0,0,0,Wed Sep 30 15:54:18 +0800 2015
6336556296,6031307832,刘嘉树i,大龄土木工程师一枚,830,347,246,m,41,1000,河南,大龄土木工程师一枚,0,0,0,0,Sat Sep 24 16:02:50 +0800 2016
6336556296,2210632045,蔡文丕,你的瞳，是褐色的迷梦,289,337,267,m,51,1,四川 成都,你的瞳，是褐色的迷梦,0,0,0,0,Thu Jun 30 18:35:44 +0800 2011
6336556296,5061071730,不呆的布袋,平凡的生活会被有趣的灵魂施加魔法,30,294,181,f,100,1000,其他,平凡的生活会被有趣的灵魂施加魔法,0,0,0,0,Thu Mar 06 19:37:06 +0800 2014
6336556296,2851800454,冷馨巨蟹__,快乐是什么?快乐就是掩饰自己的悲伤，对每个人微笑，你是最坚强的，加油！＜铁＞,901,833,921,m,13,1,河北 石家庄,快乐是什么?快乐就是掩饰自己的悲伤，对每个人微笑，你是最坚强的，加油！＜铁＞,0,0,0,0,Tue Jun 26 21:15:43 +0800 2012
6336556296,7731373504,牙牙丫yaya,,6,9,264,f,11,1000,北京,,0,0,0,0,Thu Dec 23 17:30:27 +0800 2021
6336556296,7826472890,黎瑟瑟202303,,0,15,0,m,100,1000,其他,,0,0,0,0,Sun Mar 12 14:38:44 +0800 2023
6336556296,7826472890,黎瑟瑟202303,,0,15,0,m,100,1000,其他,,0,0,0,0,Sun Mar 12 14:38:44 +0800 2023
6336556296,3242124612,Fiona_dream,,28,59,19,f,100,1000,其他,,0,0,0,0,Fri Mar 22 13:35:05 +0800 2013
6336556296,5294422899,骨头阿潘,孤芳一世，幸得一知己,270,338,417,f,100,1000,其他,孤芳一世，幸得一知己,0,0,0,0,Mon Sep 22 10:14:50 +0800 2014
6336556296,5755674423,明月清风29,,28,532,2467,f,100,1000,其他,,0,0,0,0,Sun Nov 15 07:37:43 +0800 2015
6336556296,7864440188,用户7864440188,,0,86,0,m,100,1000,其他,,0,0,0,0,Sun Aug 20 18:58:59 +0800 2023
6336556296,6168966862,_Verity_,,0,91,14,f,100,1000,其他,,0,0,0,0,Sun Mar 19 14:03:48 +0800 2017
6336556296,5761652214,从你的全世界路过_zz,zzz,29,70,0,f,32,8,江苏 淮安,zzz,0,0,0,0,Wed Jan 25 19:04:33 +0800 2017
6336556296,1772346564,寫開心的話,娃娃的公主装,2344,323,1024,f,100,1000,其他,娃娃的公主装,0,0,0,0,Wed Jul 28 16:48:06 +0800 2010
6336556296,5990957344,存忆09072,,16,12,0,f,100,1000,其他,,0,0,0,0,Wed Jul 27 00:41:17 +0800 2016
6336556296,7794226614,小丞吃魚Ning,本人住校生不经常拿手机，佛系追星,26,190,644,f,100,1000,其他,本人住校生不经常拿手机，佛系追星,0,1,0,0,Wed Oct 05 12:53:51 +0800 2022
6336556296,7733077423,傍晚一起去爬山,,2,59,1,m,100,1000,其他,,0,0,0,0,Thu Dec 30 16:44:13 +0800 2021
6336556296,7876571120,用户7876571120,,0,4,0,f,100,1000,其他,,0,0,0,0,Tue Oct 10 04:21:34 +0800 2023
6336556296,6200623590,洛神YiLuo,作词/编剧/歌曲策划，商业/非商合作请私信,469,1080,991,f,42,1,湖北 武汉,作词/编剧/歌曲策划，商业/非商合作请私信,0,0,0,0,Tue Apr 04 13:48:16 +0800 2017
