uid,id,screen_name,description,followers_count,friends_count,statuses_count,gender,province,city,location,description,star,svip,vvip,is_teenager,created_at
1968758563,7876903108,用户7876903108,,0,0,0,f,100,1000,其他,,0,0,0,0,Tue Oct 10 23:51:01 +0800 2023
1968758563,6189591152,芙蒽芬a,酷毙了,8,379,7,f,36,11,江西 上饶,酷毙了,0,0,0,0,Sat Apr 01 13:36:33 +0800 2017
1968758563,7191840357,豆蹦儿821,恨每一个没有边界感的护士,5,122,13,f,100,1000,其他,恨每一个没有边界感的护士,0,0,0,0,Thu Jun 13 13:24:26 +0800 2019
1968758563,7659235547,用户7659235547,,0,88,0,f,32,5,江苏 苏州,,0,0,0,0,Wed Jul 28 20:32:04 +0800 2021
1968758563,7823756172,八八八岁ba,,0,84,1,m,14,1000,山西,,0,0,0,0,Wed Mar 01 08:33:58 +0800 2023
1968758563,7827032538,好像空气都变甜了,,6,147,121,f,100,1000,其他,,0,0,0,0,Sun Mar 19 01:13:39 +0800 2023
1968758563,1880856887,果个洞PAI,吃瓜不信瓜,248,5219,3747,f,61,1,陕西 西安,吃瓜不信瓜,0,0,0,0,Fri Dec 03 10:10:57 +0800 2010
1968758563,2152757411,shuangshuang霜想去新疆,健康暴富,553,88,2185,f,100,1000,其他,健康暴富,0,0,0,0,Sun May 29 16:06:15 +0800 2011
1968758563,7537691433,ysyisjgfutskhdi,。,5,490,1028,f,100,1000,其他,。,0,0,0,0,Wed Dec 16 09:38:12 +0800 2020
1968758563,7845363065,Interlinked_Vincent,,0,337,1,m,100,1000,其他,,0,0,0,0,Wed Jun 14 16:21:20 +0800 2023
1968758563,2468722825,朱玉杰zyj,世界以痛吻我 我要回报以歌,345,572,10,f,51,18,四川 雅安,世界以痛吻我 我要回报以歌,0,0,0,0,Wed Nov 16 23:53:09 +0800 2011
1968758563,7874820710,用户7874820710,,0,65,0,m,100,1000,其他,,0,0,0,0,Thu Oct 05 15:16:52 +0800 2023
1968758563,1015929550,随缘1015929550,,34,170,11,m,100,1000,其他,,0,0,0,0,Mon Jun 25 16:40:21 +0800 2012
1968758563,5647671800,用户5647671800,,0,255,0,m,100,1000,其他,,0,0,0,0,Tue Jul 07 15:53:36 +0800 2015
1968758563,7876588729,年年暴富201810,,0,6,0,m,100,1000,其他,,0,0,0,0,Tue Oct 10 23:37:25 +0800 2023
1968758563,7876497962,七又七分之七_,,3,38,1,f,51,1,四川 成都,,0,0,0,0,Tue Oct 10 23:15:32 +0800 2023
1968758563,6030864093,Hanestyhhh,自给自足的光永远不会暗,130,125,109,f,15,4,内蒙古 赤峰,自给自足的光永远不会暗,0,1,0,0,Sun Sep 25 12:35:14 +0800 2016
1968758563,7551968795,元兀U,,2,16,1,f,100,1000,其他,,0,0,0,0,Tue Jan 19 19:32:58 +0800 2021
1968758563,7864793315,不想吃饭111122,发疯日常,1,78,13,f,100,1000,其他,发疯日常,0,0,0,0,Tue Aug 22 21:34:25 +0800 2023
1968758563,3862724915,阿橙阿橙阿橙橙,98年 摩羯  积极向上,402,854,595,m,50,1000,重庆,98年 摩羯  积极向上,0,0,0,0,Sun Oct 20 20:05:14 +0800 2013
1968758563,7864793315,不想吃饭111122,发疯日常,1,78,13,f,100,1000,其他,发疯日常,0,0,0,0,Tue Aug 22 21:34:25 +0800 2023
1968758563,3862724915,阿橙阿橙阿橙橙,98年 摩羯  积极向上,402,854,595,m,50,1000,重庆,98年 摩羯  积极向上,0,0,0,0,Sun Oct 20 20:05:14 +0800 2013
1968758563,7483689161,用户7483689161,,0,52,3,f,100,1000,其他,,0,0,0,0,Sat Jul 25 10:07:58 +0800 2020
1968758563,3463092900,圆圈点点93,,92,64,236,f,34,5,安徽 马鞍山,,0,0,0,0,Tue Jun 11 22:29:54 +0800 2013
1968758563,7501894762,暗部鸠斑de研研,为了不让平淡生活中的一些闪光点溜走｜学习博,3,131,14,m,100,1000,其他,为了不让平淡生活中的一些闪光点溜走｜学习博,0,0,0,0,Sat Sep 12 23:17:05 +0800 2020
1968758563,7643988285,还有棉花糖吗,,2,555,40,f,21,11,辽宁 盘锦,,0,0,0,0,Wed Jul 07 15:23:31 +0800 2021
1968758563,6184081823,用户6184081823,,0,62,0,f,100,1000,其他,,0,0,0,0,Wed Mar 22 14:19:09 +0800 2017
1968758563,7482256831,sweebp39004,,1,167,24,f,37,1,山东 济南,,0,0,0,0,Thu Jul 23 09:42:52 +0800 2020
1968758563,2425005025,此账号停用杂,永远。,74,2024,156,m,42,1000,湖北,永远。,0,0,0,0,Mon Oct 24 15:15:01 +0800 2011
1968758563,6052365563,小王的日记簿啊,小王的秘密基地🌸,29,133,8,f,23,1,黑龙江 哈尔滨,小王的秘密基地🌸,0,0,0,0,Sat Oct 22 17:11:08 +0800 2016
1968758563,6936971875,酸梅小糖-,,1,14,0,m,100,1000,其他,,0,0,0,0,Sun Jan 13 18:18:26 +0800 2019
1968758563,3860566313,杨娜是个小太阳,一个小太阳,54,114,14,f,12,7,天津 塘沽区,一个小太阳,0,0,0,0,Fri Oct 18 17:24:13 +0800 2013
1968758563,6964075265,舜妳心毅,,0,81,20,f,51,1000,四川,,0,0,0,0,Fri Jan 18 20:24:42 +0800 2019
1968758563,7006018152,用户7006018152,,0,5,0,m,100,1000,其他,,0,0,0,0,Fri Feb 22 00:31:12 +0800 2019
1968758563,5482717754,Dang456,心想事成🙏🙏,66,238,148,f,100,1000,其他,心想事成🙏🙏,0,0,0,0,Wed Feb 18 22:15:02 +0800 2015
1968758563,5792970642,凉白开小田,看时间，听自己,167,150,170,f,13,7,河北 张家口,看时间，听自己,0,0,0,0,Sun Dec 13 11:15:12 +0800 2015
1968758563,5834835412,玊的彩虹伞,介绍下自己,51,53,43,f,51,1000,四川,介绍下自己,0,0,0,0,Wed Jan 20 23:34:36 +0800 2016
1968758563,7870755940,悲伤的小猫ww,,0,118,1,f,53,3,云南 曲靖,,0,0,0,0,Fri Sep 15 15:02:01 +0800 2023
1968758563,5203706979,雪在飘王敏敏,,140,727,765,f,13,1,河北 石家庄,,0,0,0,0,Fri Jul 04 11:04:28 +0800 2014
1968758563,5848214712,ZHOUJIAO_A,过好每一天是现在的目标😊A+G 必妥维,152,281,39,m,53,1,云南 昆明,过好每一天是现在的目标😊A+G 必妥维,0,0,0,0,Wed Feb 03 01:41:17 +0800 2016
1968758563,5848214712,ZHOUJIAO_A,过好每一天是现在的目标😊A+G 必妥维,152,281,39,m,53,1,云南 昆明,过好每一天是现在的目标😊A+G 必妥维,0,0,0,0,Wed Feb 03 01:41:17 +0800 2016
1968758563,6618717070,还木有墙头,随便吧 自己开心就好,26,39,77,f,37,2,山东 青岛,随便吧 自己开心就好,0,0,0,0,Wed Aug 01 14:08:47 +0800 2018
1968758563,5630198577,飞过希望-Jocye,坐看云起,3,145,5,f,100,1000,其他,坐看云起,0,0,0,0,Fri Jan 13 21:01:41 +0800 2017
1968758563,2624664083,小伴XiWen,,15,35,0,f,44,3,广东 深圳,,0,0,0,0,Mon Feb 20 21:31:28 +0800 2012
1968758563,2769760133,杨临博,,139,19,7,f,21,7,辽宁 锦州,,0,0,0,0,Fri Jun 29 13:00:51 +0800 2012
1968758563,5948848242,麦兜没有兜11201606,,44,55,353,f,22,1000,吉林,,0,0,0,0,Thu Jun 09 18:35:48 +0800 2016
1968758563,7872232777,我的心里从此住了一个多多,人间于此，欢喜是你💕,4,39,44,f,100,1000,其他,人间于此，欢喜是你💕,0,0,0,0,Fri Sep 22 11:08:19 +0800 2023
1968758563,6590689707,念初5776,喜欢交朋友 所以 我希望大家别讨厌我,0,238,1,f,34,8,安徽 安庆,喜欢交朋友 所以 我希望大家别讨厌我,0,0,0,0,Wed Jul 04 16:22:20 +0800 2018
1968758563,5876361419,漩子柒,,7,69,43,f,13,1000,河北,,0,0,0,0,Tue Mar 08 18:19:33 +0800 2016
1968758563,7660508990,快乐的女神就是我,,0,66,50,f,100,1000,其他,,0,0,0,0,Wed Jul 28 22:47:47 +0800 2021
1968758563,5579475138,LiDcc7,🖤 ​​​,213,175,74,f,51,1,四川 成都,🖤 ​​​,0,0,0,0,Sat Apr 04 11:39:25 +0800 2015
1968758563,7188413064,zuerst_ing,今天开心吗,60,195,1256,f,42,1000,湖北,今天开心吗,0,0,0,0,Mon Jun 10 15:08:19 +0800 2019
1968758563,7340469266,易只流浪野王,,857,511,15912,m,100,1000,其他,,0,1,0,0,Wed Nov 20 19:33:00 +0800 2019
