,id,bid,正文,日期,点赞数,评论数,转发数,发表时间
0,4952319584633555,NlX4qjroL,"曲水流「香」，礼待天下。
隐园-萧山国际机场季节快闪店来了！
从T4航站楼国际出发区出发，踏上花西子的“丝绸之路”。#花西子妆点亚运##花西子隐园东方待客之道# 
花西子Florasis的微博视频
 ",2023-10-02T09:01:01,2776,482,25,2023-10-02 09:01:01
1,4951232164923466,NluMwkEOK,"桂香袅袅，故里逢秋时。
月光皎皎，团圆在中秋。
中秋节至，月满人间；岁月明朗，月圆人安。
花西子与卿共赏月圆，祝卿中秋喜乐，事事如愿~#中秋节# ",2023-09-29T09:00:00,10247,772,45,2023-09-29 09:00:00
2,4951046352799362,NlpWPbKf0,"在东方园林，见证曲水流香 #花西子妆点亚运##花西子隐园东方待客之道# 
花西子Florasis的微博视频
 ",2023-09-28T20:41:39,2466,418,57,2023-09-28 20:41:39
3,4950979764290708,Nlodqi0cY,"#我有一个梦想# 
为国货之崛起而奋斗！祝大家双节快乐！
                         ——国货助梦大使 花西子 ",2023-09-28T16:17:03,71250,9146,3760,2023-09-28 16:17:03
4,4950264111433993,Nl5B9612V,#我有一个梦想#我，花西子，6岁半，我有一个梦想，做一个立足本土，走向世界的高端品牌。 ,2023-09-26T16:53:18,2897605,133458,140309,2023-09-26 16:53:18
5,4949223487837570,NkEwIwSUq,"东方之美，妆点亚运。
作为杭州亚运会官方供应商，花西子走进亚运开幕式化妆间，为开幕式演员和嘉宾们提供妆容服务，以东方之美妆点亚运。
花西子与卿共同期待在世界舞台上展现不一样的东方魅力，共同为亚运力量喝彩！#花西子妆点亚运##杭州亚运会# ",2023-09-23T19:58:14,9690,820,93,2023-09-23 19:58:14
6,4948904833190636,NkweLdo1S,"曲水流「香」，礼待天下。
花西子西湖隐园·曲水流香限定「上新」！
从曲水流觞，到曲水流香，王羲之《兰亭集序》中的风雅流传至今；
从全亚洲，来到杭州，有朋自远方来，在隐园遇见中国之美；
从过去，走到未来，亚运文化展在隐园展现三代中国亚运风采……
迎天下客，也等卿来。#花西子妆点亚运#  ...
全文",2023-09-22T22:52:01,602,227,76,2023-09-22 22:52:01
7,4947752490635426,Nk2g92FiO,"有奖征集！送礼盒和眉笔！【转发】即可参与～
大家近期的支持与建议，小西都收到了～为更好地服务大家，我们将抽100位送美妆礼盒，另外再抽10000人来体验我们的眉笔，诚恳地向大家征集使用反馈。
9月23日-9月24日陆续开奖！#花西子发声# ",2023-09-19T18:33:01,85197,85797,296386,2023-09-19 18:33:01
8,4947738510229678,Nk1TB0XKu,感谢大家一直以来对花西子的关注和支持，抱歉我们来晚了，有几句掏心窝子的话想跟大家说。 ,2023-09-19T17:37:27,926342,52051,12825,2023-09-19 17:37:27
9,4945447083574267,Nj4hKeZPt,"亚运开幕在即！与卿共期盛事
杭州亚运会官方供应商花西子，为所有运动健儿们加油！我们杭州见~#杭州亚运会开幕倒计时10天##东方礼玉 妆点亚运# 
花西子Florasis的微博视频
 ",2023-09-13T09:52:09,52955,3835,103,2023-09-13 09:52:09
10,4944363908235866,NiC6Gyywy,ó 8   g  N  ¨R  ,2023-09-10T10:08:00,302116,15871,372,2023-09-10 10:08:00
11,4943033139728750,Ni3uhEOTk,"曲水流「香」，礼待天下。
一千六百多年前，书法家王羲之与众雅士在兰亭清溪两旁席地而坐，酒觞从上游徐徐而下，杯停则饮。
而今，这一具酒觞，穿过了一千六百多年的历史长河，停在了杭州西子湖畔花西子隐园。
今日，隐园不提供酒，但水中有香，以香待客，这是隐园的待客之道。
曲水流香迎雅客，妆点隐 ...
全文",2023-09-06T18:00:00,14989,1059,56,2023-09-06 18:00:00
12,4942898754487281,NhZZxiPlv,"温柔有力，清丽俊逸~
花西子祝东方国色大使@唐诗逸Sy 生日快乐！愿糖糖乘风破浪，一路光芒万丈✨#唐诗逸0906生日快乐# ",2023-09-06T09:06:00,2267,378,114,2023-09-06 09:06:00
13,4940798413768158,Nh7lTfOgK,"东方礼「玉」，礼待天下。
以玉为礼，宜赠佳人；以玉为妆，妆点亚运。
花西子以玉为灵感，取其形，取其意，温润于外，坚韧于内，甄选玉养系列精品，打造「玉」见东方妆奁，
致敬亚运赛场上的每一份精彩。也愿卿淡妆浓抹，皆有雅致玉容。#花西子妆点亚运# #花西子隐园东方待客之道# ",2023-08-31T14:00:00,1317,189,44,2023-08-31 14:00:00
14,4938762711731803,Nggov7gwj,"薪火相传，礼待天下。
花西子隐园-亚运文化展今日开启，共同见证“中国亚运”三十载！
从1990年到2023年，
从北京到广州，再到杭州，#花西子亚运文化展#集三届亚运文化藏品于隐园，
更有熊猫盼盼、乐羊羊以及莲莲、琮琮、宸宸，三代亚运会吉祥物空降现场，
用心为卿打造沉浸式亚运文化空间。
本展将于 ...
全文",2023-08-25T23:10:51,204,105,32,2023-08-25 23:10:51
